txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-14,2026-05-14 00:00:00,0001221359-26-000014,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,78000.0,21.09,1645020.0,1179661.0,I,1275089768.8225403,0.0012901209312651497
2026-05-13,2026-05-14 00:00:00,0001221359-26-000014,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,78000.0,20.99,1637219.9999999998,1101661.0,I,1275089768.8225403,0.001284003714900687
2026-05-12,2026-05-14 00:00:00,0001221359-26-000014,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,14640.0,21.01,307586.4,1023661.0,I,1275089768.8225403,0.00024122725122642573
2026-02-26,2026-02-26 00:00:00,0001221359-26-000011,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,5151.0,20.06,103329.06,8114565.0,I,1275089768.8225403,8.10366944559656e-05
2026-02-25,2026-02-26 00:00:00,0001221359-26-000011,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,5597.0,19.52,109253.44,8109414.0,I,1275089768.8225403,8.56829398771572e-05
2026-02-24,2026-02-24 00:00:00,0001221359-26-000007,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,28858.0,19.28,556382.24,8106817.0,I,1275089768.8225403,0.000436347505567221
2026-02-24,2026-02-26 00:00:00,0001221359-26-000009,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,25858.0,19.28,498542.24000000005,8103817.0,I,1275089768.8225403,0.0003909859934492066
2026-02-23,2026-02-26 00:00:00,0001221359-26-000009,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,50000.0,19.5,975000.0,8077959.0,I,1275089768.8225403,0.0007646520455578175
2026-02-23,2026-02-24 00:00:00,0001221359-26-000007,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,50000.0,19.5,975000.0,8077959.0,I,1275089768.8225403,0.0007646520455578175
2026-02-20,2026-02-26 00:00:00,0001221359-26-000009,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,3528.0,19.37,68337.36,8027959.0,I,1275089768.8225403,5.3594156012329204e-05
2026-02-20,2026-02-24 00:00:00,0001221359-26-000007,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,3528.0,19.37,68337.36,8027959.0,I,1275089768.8225403,5.3594156012329204e-05
2026-02-19,2026-02-19 00:00:00,0001221359-26-000004,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,57898.0,18.83,1090219.3399999999,8024431.0,I,1275089768.8225403,0.0008550137932694293
2026-02-18,2026-02-19 00:00:00,0001221359-26-000004,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,100000.0,18.81,1880999.9999999998,7966533.0,I,1275089768.8225403,0.0014751902540453892
2026-02-17,2026-02-19 00:00:00,0001221359-26-000004,AAT,"American Assets Trust, Inc.",0001500217,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RADY ERNEST S,0001221359,Executive Chairman,true,true,true,P,1968.0,18.53,36467.04,7866533.0,I,1275089768.8225403,2.8599586391219234e-05
