txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-25,2026-08-26 00:00:00,0001641792-26-000008,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Dan H.,0001641792,,false,false,true,P,30820.0,4.8062,148127.08399999997,88107422.0,I,908792540.6954079,0.00016299328765028502
2026-08-25,2026-08-26 00:00:00,0001104659-26-101760,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,"THRC Holdings, LP",0001754159,,false,false,true,P,30820.0,4.8062,148127.08399999997,83816235.0,I,908792540.6954079,0.00016299328765028502
2026-08-24,2026-08-26 00:00:00,0001641792-26-000008,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Dan H.,0001641792,,false,false,true,P,363757.0,4.7026,1710603.6682000002,88076602.0,I,908792540.6954079,0.0018822818097638065
2026-08-24,2026-08-26 00:00:00,0001104659-26-101760,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,"THRC Holdings, LP",0001754159,,false,false,true,P,363757.0,4.7026,1710603.6682000002,83785415.0,I,908792540.6954079,0.0018822818097638065
2026-08-21,2026-08-26 00:00:00,0001641792-26-000008,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Dan H.,0001641792,,false,false,true,P,212650.0,4.7445,1008917.925,87712845.0,I,908792540.6954079,0.001110174082445677
2026-08-21,2026-08-26 00:00:00,0001104659-26-101760,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,"THRC Holdings, LP",0001754159,,false,false,true,P,212650.0,4.7445,1008917.925,83421658.0,I,908792540.6954079,0.001110174082445677
2026-08-11,2026-08-12 00:00:00,0001104659-26-095159,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Dan H.,0001641792,,false,false,true,P,202331.0,5.443,1101287.633,87500195.0,I,908792540.6954079,0.0012118141200381056
2026-08-11,2026-08-12 00:00:00,0001696102-26-000008,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Matthew,0001696102,Chief Executive Officer,true,true,false,P,22481.0,5.4431,122366.33110000001,502097.0,I,908792540.6954079,0.00013464715611152057
2026-08-10,2026-08-12 00:00:00,0001104659-26-095159,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Dan H.,0001641792,,false,false,true,P,517669.0,4.859,2515353.671,87297864.0,I,908792540.6954079,0.0027677974437105876
2026-08-10,2026-08-12 00:00:00,0001696102-26-000008,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Matthew,0001696102,Chief Executive Officer,true,true,false,P,57519.0,4.859,279484.821,479616.0,I,908792540.6954079,0.0003075342374466875
2025-09-08,2025-09-09 00:00:00,0001415889-25-023987,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Matthew,0001696102,Executive Chairman,true,true,false,P,25000.0,3.78,94500.0,403800.0,I,908792540.6954079,0.00010398412813521622
2025-09-08,2025-09-09 00:00:00,0001415889-25-023987,ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,1389,Services-Oil & Gas Field Services,Mining,Wilks Matthew,0001696102,Executive Chairman,true,true,false,P,18297.0,3.83,70077.51,422097.0,I,908792540.6954079,7.711056909245393e-05
