txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-20,2026-03-23 00:00:00,0001512964-26-000007,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,100.0,11.05,1105.0,4626.0,I,504698926.5545492,2.1894241137851295e-06
2026-03-20,2026-03-23 00:00:00,0001512964-26-000007,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,100.0,11.05,1105.0,4626.0,I,504698926.5545492,2.1894241137851295e-06
2026-03-19,2026-03-19 00:00:00,0001512964-26-000005,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,200.0,11.12,2224.0,4526.0,I,504698926.5545492,4.406587537609165e-06
2026-03-19,2026-03-19 00:00:00,0001512964-26-000005,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,200.0,11.12,2224.0,4526.0,I,504698926.5545492,4.406587537609165e-06
2026-03-18,2026-03-19 00:00:00,0001512964-26-000005,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,200.0,11.25,2250.0,4326.0,I,504698926.5545492,4.458103399109992e-06
2026-03-18,2026-03-19 00:00:00,0001512964-26-000005,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,200.0,11.23,2246.0,4326.0,I,504698926.5545492,4.450177881956019e-06
2026-03-04,2026-03-18 00:00:00,0001512964-26-000003,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,700.0,11.71,8197.0,4126.0,I,504698926.5545492,1.6241366027779825e-05
2026-03-04,2026-03-18 00:00:00,0001512964-26-000003,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,700.0,11.71,8197.0,4126.0,I,504698926.5545492,1.6241366027779825e-05
2026-02-23,2026-02-24 00:00:00,0002089254-26-000005,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Crawford Troy J,0002089254,Chief Underwriting Officer,false,true,false,P,3200.0,11.085,35472.0,12585.0,D,504698926.5545492,7.028348612143539e-05
2025-06-26,2025-06-27 00:00:00,0001401521-25-000122,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,700.0,10.445,7311.5,299564.0,D,504698926.5545492,1.4486854667818981e-05
2025-06-26,2025-06-27 00:00:00,0001401521-25-000122,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DAVIS KERN MICHAEL,0001512964,,true,false,false,P,300.0,10.469,3140.7,298864.0,D,504698926.5545492,6.2229179313710005e-06
2025-05-15,2025-05-19 00:00:00,0001401521-25-000085,ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",HUDSON SHERRILL W,0001208993,,true,false,false,P,10000.0,11.0,110000.0,198403.0,D,504698926.5545492,0.00021795172173426626
