txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-29,2026-05-29 00:00:00,0001493152-26-026472,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,70577.0,5.8999,416397.2423,2604107.0,I,132386550.6587677,0.0031453137817094626
2026-05-28,2026-05-29 00:00:00,0001493152-26-026472,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,2000.0,5.832,11664.0,2533530.0,I,132386550.6587677,8.810562660601745e-05
2026-05-27,2026-05-29 00:00:00,0001493152-26-026472,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,1161.0,5.73,6652.530000000001,2531530.0,I,132386550.6587677,5.025079939689037e-05
2026-05-21,2026-05-22 00:00:00,0001493152-26-025011,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,15945.0,5.7,90886.5,2530369.0,I,132386550.6587677,0.0006865236653401753
2026-05-20,2026-05-22 00:00:00,0001493152-26-025011,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,8431.0,5.89,49658.59,2514424.0,I,132386550.6587677,0.00037510298253783537
2026-05-19,2026-05-19 00:00:00,0000912282-26-000743,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,D'Angelo Lauren,0002032983,Chief Operating Officer,false,true,false,P,3500.0,5.76,20160.0,140695.0,D,132386550.6587677,0.00015228132993632646
2026-05-18,2026-05-19 00:00:00,0001493152-26-024411,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,17395.0,5.6926,99022.77699999999,2505993.0,I,132386550.6587677,0.0007479821515648946
2026-05-15,2026-05-19 00:00:00,0001493152-26-024411,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,16648.0,5.8257,96986.25360000001,2488598.0,I,132386550.6587677,0.0007325989922494956
2026-03-30,2026-03-31 00:00:00,0001493152-26-014123,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,1850.0,4.9873,9226.505000000001,2471850.0,I,132386550.6587677,6.969367321746855e-05
2026-03-27,2026-03-31 00:00:00,0001493152-26-014123,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,10000.0,5.0792,50792.0,2470000.0,I,132386550.6587677,0.0003836643507006891
2026-03-26,2026-03-26 00:00:00,0001493152-26-013022,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,7319.0,5.2842,38675.0598,2460000.0,I,132386550.6587677,0.00029213737806105933
2026-03-25,2026-03-26 00:00:00,0001493152-26-013022,ACOG,Alpha Cognition Inc.,0001655923,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,8581.0,5.4281,46578.526099999995,2452681.0,I,132386550.6587677,0.0003518372966756891
