txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-14,2026-08-17 00:00:00,0001628280-26-057419,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,45829.0,3.06,140236.74,6562604.0,D,79147452.08,0.0017718414972885377
2026-08-14,2026-08-17 00:00:00,0001628280-26-057405,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,Hetzel Brandon,0001969899,CFO and Treasurer,false,true,false,P,1463.0,3.0,4389.0,42000.0,D,79147452.08,5.5453459140588924e-05
2026-05-14,2026-05-19 00:00:00,0001628280-26-036480,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,90600.0,2.84,257304.0,6516775.0,D,79147452.08,0.003250944828140828
2026-03-31,2026-04-01 00:00:00,0001628280-26-022840,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,29040.0,2.76,80150.4,6426175.0,D,79147452.08,0.0010126718914335517
2026-03-31,2026-04-01 00:00:00,0001628280-26-022843,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,Tannenbaum Robyn,0001842694,President and CIO,false,true,false,P,7000.0,2.8,19600.0,225907.0,D,79147452.08,0.0002476390519834912
2026-03-27,2026-03-30 00:00:00,0001628280-26-022185,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,4300.0,2.6,11180.0,6397135.0,D,79147452.08,0.0001412553367946649
2026-03-26,2026-03-30 00:00:00,0001628280-26-022185,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,19729.0,2.6,51295.4,6392835.0,D,79147452.08,0.0006480991952609171
2026-03-24,2026-03-24 00:00:00,0001628280-26-020841,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,44914.0,2.59,116327.26,6373106.0,D,79147452.08,0.0014697536931753622
2026-03-23,2026-03-24 00:00:00,0001628280-26-020841,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,14366.0,2.59,37207.939999999995,6328192.0,D,79147452.08,0.0004701091320336031
2026-03-20,2026-03-24 00:00:00,0001628280-26-020841,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,115237.0,2.55,293854.35,6313826.0,D,79147452.08,0.0037127455436339295
2026-03-19,2026-03-19 00:00:00,0001628280-26-019888,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,60600.0,2.59,156954.0,6198589.0,D,79147452.08,0.0019830581512763714
2026-03-18,2026-03-19 00:00:00,0001628280-26-019888,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,90600.0,2.59,234654.0,6137989.0,D,79147452.08,0.0029647701073537832
2026-03-16,2026-03-16 00:00:00,0001628280-26-018292,AFCG,Advanced Flower Capital Inc.,0001822523,NASDAQ,0000,SIC 0000,,TANNENBAUM LEONARD M,0001200461,,true,false,true,P,34288.0,2.59,88805.92,6047389.0,D,79147452.08,0.0011220313183327429
