txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-05,2026-06-09 00:00:00,0001493152-26-027881,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,3500.0,2.05,7174.999999999999,11279.0,I,15023665.68,0.00047757984987323006
2026-06-03,2026-06-05 00:00:00,0001493152-26-027488,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,2000.0,2.13,4260.0,7779.0,I,15023665.68,0.0002835526356041757
2026-05-28,2026-06-01 00:00:00,0001493152-26-026617,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,250.0,2.3,575.0,5779.0,I,15023665.68,3.827294964140869e-05
2026-05-27,2026-05-29 00:00:00,0001493152-26-026361,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,2000.0,2.0,4000.0,5529.0,I,15023665.68,0.0002662466062011039
2026-05-19,2026-05-20 00:00:00,0001493152-26-024604,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,2200.0,1.68,3696.0,3529.0,I,15023665.68,0.00024601186412982
2026-05-18,2026-05-20 00:00:00,0001493152-26-024604,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,500.0,1.65,825.0,1329.0,I,15023665.68,5.4913362528977684e-05
2026-05-05,2026-05-07 00:00:00,0001493152-26-021716,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,129.0,1.7,219.29999999999998,829.0,I,15023665.68,1.4596970184975522e-05
2026-04-30,2026-05-01 00:00:00,0001493152-26-020893,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,200.0,1.68,336.0,700.0,I,15023665.68,2.2364714920892727e-05
2026-04-29,2026-05-01 00:00:00,0001493152-26-020893,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,chiang yao-chung,0001859317,,true,false,false,P,100.0,1.75,175.0,500.0,I,15023665.68,1.1648289021298296e-05
2025-06-23,2025-06-25 00:00:00,0000950103-25-007790,AIMD,"Ainos, Inc.",0001014763,NASDAQ,3577,"Computer Peripheral Equipment, Nec",Manufacturing,"ASE Test, Inc.",0002021793,,false,false,true,P,29476.0,,,58887.0,D,15023665.68,
