txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-20,2026-03-23 00:00:00,0001161697-26-000067,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Huang Victor,0002004301,CEO and Chairman of the BOD,true,true,true,P,40000.0,2.2422,89688.0,4012567.0,D,86617847.58440304,0.0010354448015185936
2025-12-29,2025-12-30 00:00:00,0001161697-25-000478,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Allen Paul M.,0002004278,President,false,true,false,P,100000.0,2.7427,274270.0,151948.0,D,86617847.58440304,0.0031664374912196134
2025-11-21,2025-11-24 00:00:00,0001161697-25-000382,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Huang Victor,0002004301,CEO and Chairman of the BOD,true,true,true,P,5000.0,3.0259,15129.5,199849.0,D,86617847.58440304,0.00017466954469467
2025-11-21,2025-11-24 00:00:00,0001161697-25-000382,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Huang Victor,0002004301,CEO and Chairman of the BOD,true,true,true,P,5000.0,3.0199,15099.499999999998,204849.0,D,86617847.58440304,0.0001743231957511596
2025-11-20,2025-11-20 00:00:00,0001161697-25-000378,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Huang Victor,0002004301,CEO and Chairman of the BOD,true,true,true,P,51000.0,3.1762,161986.2,194849.0,D,86617847.58440304,0.001870124974441968
2025-11-18,2025-11-19 00:00:00,0001161697-25-000376,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Lebedin Louis,0001849168,,true,false,false,P,50000.0,3.18,159000.0,100000.0,D,86617847.58440304,0.0018356494006049459
2025-08-29,2025-09-12 00:00:00,0001161697-25-000322,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Huang Victor,0002004301,CEO and Chairman of the BOD,true,true,true,P,6000.0,1.45,8700.0,6000.0,I,86617847.58440304,0.00010044119361800647
2025-08-13,2025-08-14 00:00:00,0001161697-25-000264,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Huang Victor,0002004301,CEO and Chairman of the BOD,true,true,true,P,7000.0,1.6471,11529.7,177719.0,D,86617847.58440304,0.0001331099804663827
2025-08-12,2025-08-13 00:00:00,0001161697-25-000258,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Huang Victor,0002004301,CEO and Chairman of the BOD,true,true,true,P,10000.0,1.5409,15409.0,170719.0,D,86617847.58440304,0.00017789636235170824
2025-08-08,2025-08-11 00:00:00,0001161697-25-000242,AISP,"Airship AI Holdings, Inc.",0001842566,NASDAQ,7372,Services-Prepackaged Software,Services,Huang Victor,0002004301,CEO and Chairman of the BOD,true,true,true,P,26000.0,1.4649,38087.4,160719.0,D,86617847.58440304,0.00043971769170189195
