txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-14,2026-05-14 00:00:00,0000950142-26-001404,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC GENPAR (BERMUDA), L.P.",0001467927,,true,false,true,P,675000.0,16.49,11130749.999999998,19420994.0,I,1797922041.55085,0.00619089690362706
2026-05-14,2026-05-14 00:00:00,0000950142-26-001403,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC, L.P.",0001017645,,true,false,true,P,675000.0,16.49,11130749.999999998,19420994.0,I,1797922041.55085,0.00619089690362706
2026-05-13,2026-05-14 00:00:00,0000950142-26-001403,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC, L.P.",0001017645,,true,false,true,P,550000.0,16.63,9146500.0,18745994.0,I,1797922041.55085,0.005087261732500048
2026-05-13,2026-05-14 00:00:00,0000950142-26-001404,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC GENPAR (BERMUDA), L.P.",0001467927,,true,false,true,P,550000.0,16.63,9146500.0,18745994.0,I,1797922041.55085,0.005087261732500048
2026-05-12,2026-05-14 00:00:00,0000950142-26-001403,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC, L.P.",0001017645,,true,false,true,P,750000.0,16.87,12652500.0,18195994.0,I,1797922041.55085,0.0070372906653317505
2026-05-12,2026-05-14 00:00:00,0000950142-26-001404,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC GENPAR (BERMUDA), L.P.",0001467927,,true,false,true,P,750000.0,16.87,12652500.0,18195994.0,I,1797922041.55085,0.0070372906653317505
2026-05-06,2026-05-06 00:00:00,0000950142-26-001307,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC GENPAR (BERMUDA), L.P.",0001467927,,true,false,true,P,844772.0,16.63,14048558.36,17445994.0,I,1797922041.55085,0.007813775033250056
2026-05-06,2026-05-06 00:00:00,0000950142-26-001306,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC, L.P.",0001017645,,true,false,true,P,844772.0,16.63,14048558.36,17445994.0,I,1797922041.55085,0.007813775033250056
2026-05-05,2026-05-06 00:00:00,0000950142-26-001307,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC GENPAR (BERMUDA), L.P.",0001467927,,true,false,true,P,700000.0,16.84,11788000.0,16601222.0,I,1797922041.55085,0.006556457803827755
2026-05-05,2026-05-06 00:00:00,0000950142-26-001306,ALKT,"ALKAMI TECHNOLOGY, INC.",0001529274,NASDAQ,7372,Services-Prepackaged Software,Services,"GENERAL ATLANTIC, L.P.",0001017645,,true,false,true,P,700000.0,16.84,11788000.0,16601222.0,I,1797922041.55085,0.006556457803827755
