txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-10,2026-08-12 00:00:00,0001227454-26-000010,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,2000.0,22.85,45700.0,15400.0,I,12172542751.610977,3.75435116002791e-06
2026-08-10,2026-08-12 00:00:00,0001227454-26-000010,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,2000.0,22.79,45580.0,19000.0,I,12172542751.610977,3.7444929075289307e-06
2026-08-10,2026-08-12 00:00:00,0001227454-26-000010,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,1000.0,22.7,22700.0,21000.0,I,12172542751.610977,1.864852764390231e-06
2026-05-18,2026-05-18 00:00:00,0001227454-26-000007,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,1952.0,23.53,45930.560000000005,17000.0,I,12172542751.610977,3.7732921491626157e-06
2026-05-18,2026-05-18 00:00:00,0001227454-26-000007,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,89.0,23.5,2091.5,13400.0,I,12172542751.610977,1.7182112584679156e-07
2026-05-15,2026-05-18 00:00:00,0001227454-26-000007,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,1311.0,23.4,30677.399999999998,13311.0,I,12172542751.610977,2.520212960101536e-06
2026-05-15,2026-05-18 00:00:00,0001227454-26-000007,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,48.0,23.4,1123.1999999999998,15048.0,I,12172542751.610977,9.227324339044525e-08
2026-05-13,2026-05-14 00:00:00,0001227454-26-000005,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,1000.0,23.25,23250.0,12000.0,I,12172542751.610977,1.910036421677219e-06
2026-05-13,2026-05-14 00:00:00,0001227454-26-000005,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,400.0,23.25,9300.0,20000.0,I,12172542751.610977,7.640145686708876e-07
2026-05-13,2026-05-14 00:00:00,0001227454-26-000005,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,100.0,23.25,2325.0,100.0,I,12172542751.610977,1.910036421677219e-07
2026-05-13,2026-05-14 00:00:00,0001227454-26-000005,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,94.0,23.25,2185.5,100.0,I,12172542751.610977,1.7954342363765859e-07
2026-05-12,2026-05-14 00:00:00,0001227454-26-000005,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",CORRIGAN JACK E,0001227454,,true,false,false,P,6.0,23.0,138.0,6.0,I,12172542751.610977,1.1336990373826074e-08
2026-03-03,2026-03-09 00:00:00,0001582654-26-000006,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Goldberg David,0001582654,,true,false,false,P,2000.0,29.3,58600.0,36723.0,I,12172542751.610977,4.814113303668173e-06
2026-03-02,2026-03-04 00:00:00,0001275331-26-000007,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",BENHAM DOUGLAS N,0001275331,,true,false,false,P,1200.0,24.2,29040.0,44717.0,I,12172542751.610977,2.3856971047529652e-06
2026-02-25,2026-02-27 00:00:00,0001275331-26-000004,AMH,American Homes 4 Rent,0001562401,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",BENHAM DOUGLAS N,0001275331,,true,false,false,P,1571.0,24.0,37704.0,43517.0,I,12172542751.610977,3.097462935179263e-06
