txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-12,2026-08-13 00:00:00,0001874231-26-000007,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Oran Baris,0001874231,Chief Financial Officer,false,true,false,P,3000.0,47.13,141390.0,6000.0,D,25568773857.0,5.52979195603044e-06
2026-08-11,2026-08-13 00:00:00,0001632531-26-000002,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,5260.0,47.31,248850.6,10637.0,D,25568773857.0,9.732598105476685e-06
2026-08-11,2026-08-13 00:00:00,0002069180-26-000002,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Gross Mario,0002069180,Chief Supply Chain Officer,false,true,false,P,3200.0,46.62,149184.0,38117.0,D,25568773857.0,5.834616897718687e-06
2026-08-11,2026-08-13 00:00:00,0001874231-26-000007,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Oran Baris,0001874231,Chief Financial Officer,false,true,false,P,3000.0,47.38,142140.0,3000.0,D,25568773857.0,5.5591246101574846e-06
2026-08-11,2026-08-13 00:00:00,0002069377-26-000002,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Hill Jaime,0002069377,"President, Building Materials",false,true,false,P,1500.0,47.12,70680.0,29698.0,D,25568773857.0,2.764309324932679e-06
2026-08-11,2026-08-13 00:00:00,0002069148-26-000003,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Brouwer Roald,0002069148,Chief Technology Officer,false,true,false,P,1500.0,46.36,69540.0,21490.0,D,25568773857.0,2.719723690659571e-06
2026-08-11,2026-08-13 00:00:00,0002069180-26-000002,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Gross Mario,0002069180,Chief Supply Chain Officer,false,true,false,P,368.0,46.38,17067.84,38485.0,D,25568773857.0,6.675267298876482e-07
2026-05-22,2026-05-26 00:00:00,0002069283-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Forrest Nollaig,0002069283,Chief Mktg & Corp Affairs Off,false,true,false,P,2000.0,50.25,100500.0,20139.0,D,25568773857.0,3.930575653023971e-06
2026-05-21,2026-05-21 00:00:00,0002069148-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Brouwer Roald,0002069148,Chief Technology Officer,false,true,false,P,1500.0,49.84,74760.0,19757.0,D,25568773857.0,2.9238789633838013e-06
2026-05-20,2026-05-21 00:00:00,0002069180-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Gross Mario,0002069180,Chief Supply Chain Officer,false,true,false,P,1200.0,48.63,58356.0,34747.0,D,25568773857.0,2.2823151523170826e-06
2026-05-19,2026-05-20 00:00:00,0002068104-26-000004,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,7000.0,49.69,347830.0,1735000.0,D,25568773857.0,1.360370278001321e-05
2026-05-19,2026-05-20 00:00:00,0002068104-26-000004,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,3000.0,49.96,149880.0,515000.0,I,25568773857.0,5.861837600748584e-06
2026-05-19,2026-05-20 00:00:00,0002068104-26-000004,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,3001.0,49.63,148939.63,1728000.0,D,25568773857.0,5.8250595367999855e-06
2026-05-19,2026-05-20 00:00:00,0002068104-26-000004,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,2000.0,48.72,97440.0,1738360.0,D,25568773857.0,3.8108984241856286e-06
2026-05-19,2026-05-21 00:00:00,0002069180-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Gross Mario,0002069180,Chief Supply Chain Officer,false,true,false,P,1800.0,49.47,89046.0,32747.0,D,25568773857.0,3.482607359195746e-06
2026-05-19,2026-05-20 00:00:00,0002068104-26-000004,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,1640.0,48.69,79851.59999999999,1740000.0,D,25568773857.0,3.123012485721481e-06
2026-05-19,2026-05-20 00:00:00,0002068104-26-000004,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,1360.0,48.5,65960.0,1736360.0,D,25568773857.0,2.579709154959812e-06
2026-05-19,2026-05-21 00:00:00,0002069180-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Gross Mario,0002069180,Chief Supply Chain Officer,false,true,false,P,1000.0,48.63,48630.0,33747.0,D,25568773857.0,1.901929293597569e-06
2026-05-19,2026-05-20 00:00:00,0002068104-26-000004,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,1000.0,48.55,48550.0,1741000.0,D,25568773857.0,1.8988004771573508e-06
2026-05-15,2026-05-18 00:00:00,0002068104-26-000003,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,13417.0,49.69,666690.73,1716999.0,D,25568773857.0,2.6074411457062464e-05
2026-05-15,2026-05-18 00:00:00,0002068104-26-000003,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,8000.0,49.63,397040.0,1724999.0,D,25568773857.0,1.552831599280236e-05
2026-05-15,2026-05-18 00:00:00,0002068104-26-000003,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,7000.0,49.12,343840.0,512000.0,I,25568773857.0,1.3447653060057333e-05
2026-05-05,2026-05-07 00:00:00,0001632531-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,2.152,52.75,113.518,5260.0,D,25568773857.0,4.439712308258458e-09
2026-03-13,2026-03-16 00:00:00,0002035989-26-000033,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Gross Mario,0002069180,Chief Supply Chain Officer,false,true,false,P,2000.0,55.39,110780.0,29747.0,D,25568773857.0,4.332628565591995e-06
2026-03-13,2026-03-16 00:00:00,0002035989-26-000032,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Brouwer Roald,0002069148,Chief Technology Officer,false,true,false,P,2000.0,54.88,109760.0,18257.0,D,25568773857.0,4.292736155979214e-06
2026-03-13,2026-03-16 00:00:00,0002035989-26-000033,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Gross Mario,0002069180,Chief Supply Chain Officer,false,true,false,P,1200.0,55.13,66156.0,30947.0,D,25568773857.0,2.587374755238346e-06
2026-03-12,2026-03-12 00:00:00,0002035989-26-000031,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Hill Jaime,0002069377,"President, Building Materials",false,true,false,P,1000.0,56.9,56900.0,28000.0,D,25568773857.0,2.2253706931051136e-06
2026-03-11,2026-03-11 00:00:00,0002035989-26-000028,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Brouwer Roald,0002069148,Chief Technology Officer,false,true,false,P,3000.0,58.72,176160.0,16257.0,D,25568773857.0,6.889653801360225e-06
2026-03-11,2026-03-11 00:00:00,0002035989-26-000029,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Hill Jaime,0002069377,"President, Building Materials",false,true,false,P,1000.0,58.91,58910.0,27000.0,D,25568773857.0,2.303982206165593e-06
2026-03-10,2026-03-11 00:00:00,0002035989-26-000030,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Johnston Ian A,0002069237,Chief Financial Officer,false,true,false,P,4250.0,58.935,250473.75,25110.0,D,25568773857.0,9.796079835538436e-06
2026-03-09,2026-03-10 00:00:00,0002069377-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Hill Jaime,0002069377,"President, Building Materials",false,true,false,P,3184.0,56.34,179386.56,26000.0,D,25568773857.0,7.015845226027101e-06
2026-03-06,2026-03-09 00:00:00,0002035989-26-000027,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,60000.0,58.05,3483000.0,1703582.0,D,25568773857.0,0.0001362208457659949
2026-02-19,2026-02-23 00:00:00,0002069237-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Johnston Ian A,0002069237,Chief Financial Officer,false,true,false,P,995.0,63.92,63600.4,18339.0,D,25568773857.0,2.4874247140555795e-06
2026-02-19,2026-02-23 00:00:00,0002069237-26-000001,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Johnston Ian A,0002069237,Chief Financial Officer,false,true,false,P,205.0,63.91,13101.55,18544.0,D,25568773857.0,5.124043129042407e-07
2025-11-19,2025-11-20 00:00:00,0001515709-25-000003,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Gangestad Nicholas C,0001515709,,true,false,false,P,2000.0,47.34,94680.0,4958.0,D,25568773857.0,3.7029542569981047e-06
2025-11-04,2025-11-06 00:00:00,0002069377-25-000003,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Hill Jaime,0002069377,"President, Building Materials",false,true,false,P,4000.0,50.685,202740.0,18101.0,D,25568773857.0,7.929203063622684e-06
2025-10-31,2025-11-04 00:00:00,0002069148-25-000003,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Brouwer Roald,0002069148,Chief Technology Officer,false,true,false,P,3000.0,51.78,155340.0,8000.0,D,25568773857.0,6.075379322793469e-06
2025-10-31,2025-11-04 00:00:00,0002069148-25-000003,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Brouwer Roald,0002069148,Chief Technology Officer,false,true,false,P,1000.0,51.76,51760.0,9000.0,D,25568773857.0,2.0243442368211017e-06
2025-10-30,2025-10-31 00:00:00,0002035989-25-000039,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,55000.0,52.88,2908400.0,505000.0,I,25568773857.0,0.00011374812168412852
2025-10-30,2025-10-31 00:00:00,0002035989-25-000039,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Jenisch Jan Philipp,0002068104,Chairman & CEO,true,true,false,P,55000.0,52.64,2895200.0,1505000.0,D,25568773857.0,0.00011323186697149254
2025-08-27,2025-08-27 00:00:00,0002035989-25-000027,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Brouwer Roald,0002069148,Chief Technology Officer,false,true,false,P,2000.0,51.88,103760.0,5000.0,D,25568773857.0,4.0580749229628575e-06
2025-08-22,2025-08-25 00:00:00,0002035989-25-000026,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Hill Jaime,0002069377,"President, Building Materials",false,true,false,P,500.0,49.585,24792.5,14101.0,D,25568773857.0,9.696397699263361e-07
2025-08-15,2025-08-18 00:00:00,0002035989-25-000025,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Hill Jaime,0002069377,"President, Building Materials",false,true,false,P,4000.0,51.995,207980.0,13601.0,D,25568773857.0,8.134140540456968e-06
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,1100.0,51.85,57035.0,4600.0,D,25568773857.0,2.2306505708479818e-06
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,1040.0,51.83,53903.2,3000.0,D,25568773857.0,2.108165229254544e-06
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,1000.0,51.82,51820.0,1960.0,D,25568773857.0,2.026690849151265e-06
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,500.0,51.84,25920.0,3500.0,D,25568773857.0,1.01373652663066e-06
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,400.0,51.86,20744.0,5000.0,D,25568773857.0,8.113021029485497e-07
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,367.0,51.8,19010.6,659.0,D,25568773857.0,7.435084727301243e-07
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,301.0,51.81,15594.810000000001,960.0,D,25568773857.0,6.099162238759677e-07
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,100.0,51.79,5179.0,292.0,D,25568773857.0,2.0255175429861835e-07
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,100.0,51.625,5162.5,100.0,D,25568773857.0,2.0190643590782336e-07
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,70.0,51.63,3614.1000000000004,170.0,D,25568773857.0,1.4134819370740233e-07
2025-08-15,2025-08-18 00:00:00,0002035989-25-000024,AMRZ,Amrize Ltd,0002035989,NYSE,3241,"Cement, Hydraulic",Manufacturing,Clark Stephen S,0001632531,Chief People Officer,false,true,false,P,22.0,51.78,1139.16,192.0,D,25568773857.0,4.4552781700485436e-08
