txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-06-09,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,4372.0,218.12,953620.64,21401.0,D,6002110976.75,0.00015888087436136724
2025-06-09,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,2029.0,217.34,440982.86,17029.0,D,6002110976.75,7.34712939677736e-05
2025-06-09,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,599.0,218.73,131019.26999999999,22000.0,D,6002110976.75,2.1828864962264294e-05
2025-06-06,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,4420.0,217.2,960024.0,14825.0,D,6002110976.75,0.00015994772567831295
2025-06-06,2025-06-09 00:00:00,0001433195-25-000081,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,Casey Robert Donald III,0002064926,,true,false,false,P,4000.0,217.73,870920.0,27856.0,D,6002110976.75,0.00014510228207602758
2025-06-06,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,1789.0,215.28,385135.92,9289.0,D,6002110976.75,6.416674424912782e-05
2025-06-06,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,1116.0,216.41,241513.56,10405.0,D,6002110976.75,4.023810304999956e-05
2025-06-06,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,175.0,217.87,38127.25,15000.0,D,6002110976.75,6.352306738027859e-06
2025-06-05,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,4400.0,217.72,957968.0,7500.0,D,6002110976.75,0.0001596051795294723
2025-06-05,2025-06-09 00:00:00,0000950170-25-084057,APPF,APPFOLIO INC,0001433195,NASDAQ,7372,Services-Prepackaged Software,Services,BLISS TIMOTHY K,0000938332,,true,false,false,P,3100.0,216.02,669662.0,3100.0,D,6002110976.75,0.00011157107934092315
