txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-23,2026-03-24 00:00:00,0001515156-26-000030,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Campbell-Breeden Richard,0001963344,,true,false,false,P,150000.0,2.2111,331665.0,404786.0,I,97696291.0540731,0.003394857639134218
2026-03-17,2026-03-19 00:00:00,0001515156-26-000028,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Wong Joseph M,0001785490,Chief Technology Officer,false,true,false,P,10000.0,1.89,18900.0,400686.0,D,97696291.0540731,0.00019345667881638616
2026-03-16,2026-03-16 00:00:00,0001515156-26-000023,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Smith Claiborne Benson,0002021219,"Gen Counsel, Corp Secretary",false,true,false,P,1000.0,1.9179,1917.8999999999999,102491.0,D,97696291.0540731,1.9631246788462803e-05
2026-03-13,2026-03-17 00:00:00,0001515156-26-000025,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,EICHER CAROL S,0001434811,,true,false,false,P,77500.0,1.9485,151008.75,174010.0,D,97696291.0540731,0.0015456958331859236
2026-03-12,2026-03-16 00:00:00,0001515156-26-000023,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Smith Claiborne Benson,0002021219,"Gen Counsel, Corp Secretary",false,true,false,P,1000.0,1.9185,1918.5,101491.0,D,97696291.0540731,1.9637388270329992e-05
2025-11-11,2025-11-13 00:00:00,0001515156-25-000147,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Campbell-Breeden Richard,0001963344,,true,false,false,P,28638.0,3.5438,101487.3444,254786.0,I,97696291.0540731,0.0010388044756359136
2025-11-11,2025-11-13 00:00:00,0001515156-25-000148,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Voncannon Jay Loring,0002063870,Chief Financial Officer,false,true,false,P,6000.0,3.5517,21310.2,65000.0,D,97696291.0540731,0.0002181270114768758
2025-11-10,2025-11-12 00:00:00,0001515156-25-000142,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Rasmus Robert E.,0001555130,Chief Executive Officer,true,true,false,P,50000.0,3.7918,189590.0,70718.0,I,97696291.0540731,0.0019406059119999287
2025-11-10,2025-11-13 00:00:00,0001515156-25-000148,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Voncannon Jay Loring,0002063870,Chief Financial Officer,false,true,false,P,9000.0,3.74,33660.0,59000.0,D,97696291.0540731,0.00034453713274918297
2025-05-23,2025-05-27 00:00:00,0001515156-25-000074,ARQ,"Arq, Inc.",0001515156,NASDAQ,2890,Miscellaneous Chemical Products,Manufacturing,Campbell-Breeden Richard,0001963344,,true,false,false,P,75000.0,4.1,307500.0,226148.0,I,97696291.0540731,0.003147509456933267
