txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-24,2026-07-28 00:00:00,0001231919-26-000808,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,41319.0,9.99,412776.81,17283802.0,I,506774919.9679413,0.0008145170444230199
2026-07-23,2026-07-23 00:00:00,0001231919-26-000791,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,59880.0,9.96,596404.8,17242483.0,I,506774919.9679413,0.001176863290783468
2026-07-22,2026-07-23 00:00:00,0001231919-26-000791,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,84124.0,9.93,835351.32,17182603.0,I,506774919.9679413,0.001648367523895706
2026-07-21,2026-07-23 00:00:00,0001231919-26-000791,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,120582.0,9.55,1151558.1,17098479.0,I,506774919.9679413,0.0022723265391129616
2026-07-17,2026-07-20 00:00:00,0001231919-26-000774,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,7882.0,8.95,70543.9,16977927.0,I,506774919.9679413,0.00013920164005839638
2026-07-16,2026-07-20 00:00:00,0001231919-26-000774,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,152472.0,8.93,1361574.96,16970045.0,I,506774919.9679413,0.0026867449558990284
2026-07-13,2026-07-14 00:00:00,0001231919-26-000764,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,6552.0,8.94,58574.88,16817573.0,I,506774919.9679413,0.00011558362044377701
2026-07-13,2026-07-23 00:00:00,0001231919-26-000790,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,6522.0,8.94,58306.68,16817543.0,I,506774919.9679413,0.00011505439141244105
2026-07-10,2026-07-14 00:00:00,0001231919-26-000764,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,15102.0,8.97,135464.94,16811021.0,I,506774919.9679413,0.0002673079007314915
2026-06-26,2026-06-29 00:00:00,0001231919-26-000711,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,1876.0,8.98,16846.48,16795919.0,I,506774919.9679413,3.324252905227771e-05
2026-06-25,2026-06-29 00:00:00,0001231919-26-000711,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,31000.0,8.88,275280.0,16794043.0,I,506774919.9679413,0.0005431997305971935
2026-06-16,2026-06-16 00:00:00,0001231919-26-000656,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,124893.0,8.89,1110298.77,16763043.0,I,506774919.9679413,0.00219091104601277
2026-06-15,2026-06-16 00:00:00,0001231919-26-000656,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,15414.0,8.99,138571.86000000002,16638150.0,I,506774919.9679413,0.0002734386697920373
2026-06-12,2026-06-16 00:00:00,0001231919-26-000656,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,391019.0,8.57,3351032.83,16622736.0,I,506774919.9679413,0.006612467779999822
2026-06-11,2026-06-11 00:00:00,0001231919-26-000625,ARTV,"Artiva Biotherapeutics, Inc.",0001817241,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,548580.0,7.91,4339267.8,16231717.0,I,506774919.9679413,0.008562514893741196
