txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-14,2026-04-15 00:00:00,0001457242-26-000002,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Barrett J Tutt,0001457242,,true,false,false,P,57.0,23.722,1352.154,9173.0,D,82187810.46014023,1.6452001731519212e-05
2026-04-14,2026-04-15 00:00:00,0001195633-26-000002,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HAM WILLIAM F JR,0001195633,,true,false,false,P,53.0,23.722,1257.266,5026.0,D,82187810.46014023,1.529747529421962e-05
2026-04-14,2026-04-15 00:00:00,0001195632-26-000002,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOUSEL DAVID E,0001195632,,true,false,false,P,41.0,23.722,972.6020000000001,9097.0,D,82187810.46014023,1.183389598232084e-05
2026-04-14,2026-04-15 00:00:00,0001457242-26-000002,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Barrett J Tutt,0001457242,,true,false,false,P,26.0,23.458,609.9079999999999,9199.0,D,82187810.46014023,7.420905808116101e-06
2026-04-14,2026-04-15 00:00:00,0001393391-26-000002,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",O'DONNELL SHANNON,0001393391,Senior Vice President,false,true,false,P,17.0,23.722,403.274,1862.0,D,82187810.46014023,4.906737358523274e-06
2026-04-14,2026-04-15 00:00:00,0001195632-26-000002,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOUSEL DAVID E,0001195632,,true,false,false,P,17.0,23.2458,395.17859999999996,9114.0,D,82187810.46014023,4.808238567100595e-06
2026-04-14,2026-04-15 00:00:00,0001393391-26-000002,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",O'DONNELL SHANNON,0001393391,Senior Vice President,false,true,false,P,13.0,23.458,304.95399999999995,1875.0,D,82187810.46014023,3.7104529040580507e-06
2026-04-14,2026-04-15 00:00:00,0001195633-26-000002,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HAM WILLIAM F JR,0001195633,,true,false,false,P,11.0,23.25,255.75,5037.0,D,82187810.46014023,3.1117753176310088e-06
2026-03-11,2026-03-12 00:00:00,0001193125-26-104123,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Conn Walton T Jr.,0002091876,,true,false,false,P,200.0,24.1,4820.0,1250.0,I,82187810.46014023,5.864616629904775e-05
2026-02-24,2026-02-24 00:00:00,0001193125-26-067648,AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Conn Walton T Jr.,0002091876,,true,false,false,P,100.0,24.75,2475.0,1050.0,I,82187810.46014023,3.01139546867517e-05
