txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-02,2026-06-02 00:00:00,0001178579-26-000004,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,Chief Executive Officer,true,true,true,P,206005.0,15.28,3147756.4,13044106.0,I,2175386647.5549927,0.0014469870924039613
2026-06-01,2026-06-02 00:00:00,0001178579-26-000004,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,Chief Executive Officer,true,true,true,P,343521.0,15.28,5249000.88,12838002.0,I,2175386647.5549927,0.0024129047982801447
2026-06-01,2026-06-02 00:00:00,0001178579-26-000004,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,Chief Executive Officer,true,true,true,P,99.0,15.34,1518.66,12838101.0,I,2175386647.5549927,6.981103803808326e-07
2026-05-29,2026-06-02 00:00:00,0001178579-26-000004,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,Chief Executive Officer,true,true,true,P,262682.0,15.31,4021661.42,12494481.0,I,2175386647.5549927,0.0018487110898286114
2026-05-29,2026-06-02 00:00:00,0001178579-26-000004,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,Chief Executive Officer,true,true,true,P,2299.0,15.35,35289.65,12231799.0,I,2175386647.5549927,1.6222242625081618e-05
2026-03-03,2026-03-03 00:00:00,0001178579-26-000001,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,true,false,false,P,184208.0,14.22,2619437.7600000002,12229500.0,I,2175386647.5549927,0.0012041251438883727
2026-03-02,2026-03-03 00:00:00,0001178579-26-000001,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,true,false,false,P,115792.0,14.21,1645404.32,12045292.0,I,2175386647.5549927,0.000756373273619813
2026-03-02,2026-03-03 00:00:00,0001178579-26-000001,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,true,false,false,P,83561.0,14.33,1197429.1300000001,11929500.0,I,2175386647.5549927,0.000550444276812051
2026-02-27,2026-03-03 00:00:00,0001178579-26-000001,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,true,false,false,P,300000.0,13.9,4170000.0,11629500.0,I,2175386647.5549927,0.0019169006138227594
2026-02-27,2026-03-03 00:00:00,0001178579-26-000001,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,true,false,false,P,214839.0,14.12,3033526.6799999997,11844339.0,I,2175386647.5549927,0.0013944770155730735
2026-02-27,2026-03-03 00:00:00,0001178579-26-000001,AUPH,Aurinia Pharmaceuticals Inc.,0001600620,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,true,false,false,P,1600.0,14.38,23008.0,11845939.0,I,2175386647.5549927,1.057651062897699e-05
