txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-11,2026-08-12 00:00:00,0001437749-26-027261,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Grimaldo Joseph F,0002076307,,true,false,false,P,4655.0,21.4364,99786.442,44655.0,I,413946315.0,0.00024106131250377236
2026-08-11,2026-08-12 00:00:00,0001437749-26-027263,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Saul Kennedy O,0002076312,,true,false,false,P,4278.0,21.65,92618.7,9178.0,D,413946315.0,0.0002237456806446024
2026-08-11,2026-08-12 00:00:00,0001437749-26-027263,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Saul Kennedy O,0002076312,,true,false,false,P,872.0,21.67,18896.24,10050.0,D,413946315.0,4.5649011273358e-05
2026-08-11,2026-08-12 00:00:00,0001437749-26-027263,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Saul Kennedy O,0002076312,,true,false,false,P,513.0,21.62,11091.060000000001,4676.0,D,413946315.0,2.6793474414671385e-05
2026-08-11,2026-08-12 00:00:00,0001437749-26-027263,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Saul Kennedy O,0002076312,,true,false,false,P,145.0,21.63,3136.35,4821.0,D,413946315.0,7.576707138943851e-06
2026-08-11,2026-08-12 00:00:00,0001437749-26-027263,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Saul Kennedy O,0002076312,,true,false,false,P,79.0,21.64,1709.56,4900.0,D,413946315.0,4.129907521945206e-06
2026-08-11,2026-08-12 00:00:00,0001437749-26-027263,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Saul Kennedy O,0002076312,,true,false,false,P,13.0,21.61,280.93,4163.0,D,413946315.0,6.786628840988716e-07
2026-06-03,2026-06-03 00:00:00,0001437749-26-019346,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Nelson Jonathan Michael,0002077951,CFO and Treasurer,false,true,false,P,1065.0,18.8999,20128.3935,14545.0,D,413946315.0,4.8625613444583985e-05
2026-05-29,2026-06-01 00:00:00,0001437749-26-018982,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Cozzone Robert D,0001586267,President & CEO,true,true,false,P,2128.0,18.8,40006.4,67357.0,I,413946315.0,9.664634893536859e-05
2026-05-27,2026-07-30 00:00:00,0001437749-26-024992,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Karmelek Nicolas,0002076461,EVP and CRO,false,true,false,P,19.0,19.08,362.52,7727.0,D,413946315.0,8.757657378831842e-07
2026-05-18,2026-05-19 00:00:00,0001437749-26-017728,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Jensen Barry H,0001471290,EVP and Chief Admin Officer,false,true,false,P,500.0,18.88,9440.0,42000.0,D,413946315.0,2.280488956641636e-05
2026-05-15,2026-07-30 00:00:00,0001437749-26-024991,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",GILLES MICHAEL O,0001203190,,true,false,false,P,1000.0,19.17,19170.0,20000.0,I,413946315.0,4.631035307078407e-05
2026-05-15,2026-07-30 00:00:00,0001437749-26-024991,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",GILLES MICHAEL O,0001203190,,true,false,false,P,1000.0,19.1205,19120.5,26096.0,D,413946315.0,4.619077234689238e-05
2026-05-15,2026-07-30 00:00:00,0001437749-26-024991,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",GILLES MICHAEL O,0001203190,,true,false,false,P,1000.0,18.916,18916.0,5000.0,I,413946315.0,4.569674693202668e-05
2026-05-14,2026-05-15 00:00:00,0001437749-26-017376,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",GILLES MICHAEL O,0001203190,,true,false,false,P,1000.0,19.5,19500.0,25096.0,D,413946315.0,4.710755789672871e-05
2026-05-14,2026-05-15 00:00:00,0001437749-26-017315,AVBC,"Avidia Bancorp, Inc.",0002058758,NYSE,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Jensen Barry H,0001471290,EVP and Chief Admin Officer,false,true,false,P,500.0,19.26,9630.0,41500.0,D,413946315.0,2.3263886284384486e-05
