txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-09,2026-07-10 00:00:00,0000899140-26-000713,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Globalharvest Holdings Venture Ltd,0002069986,,false,false,true,P,592957.0,13.28,7874468.96,12963396.0,D,1172770075.87603,0.00671441838598923
2026-07-08,2026-07-09 00:00:00,0000899140-26-000708,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Globalharvest Holdings Venture Ltd,0002069986,,false,false,true,P,687222.0,13.42,9222519.24,12370439.0,D,1172770075.87603,0.007863876670890505
2026-07-07,2026-07-09 00:00:00,0000899140-26-000708,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Globalharvest Holdings Venture Ltd,0002069986,,false,false,true,P,491865.0,13.4,6590991.0,11683217.0,D,1172770075.87603,0.005620019759693045
2026-07-06,2026-07-08 00:00:00,0000899140-26-000702,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Globalharvest Holdings Venture Ltd,0002069986,,false,false,true,P,650415.0,12.73,8279782.95,11191352.0,D,1172770075.87603,0.007060022352476217
2026-06-30,2026-06-30 00:00:00,0001825879-26-000006,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Pack Jay A,0001825879,,true,false,false,P,40000.0,12.1,484000.0,579965.0,D,1172770075.87603,0.0004126981153048811
2026-06-23,2026-06-23 00:00:00,0001459350-26-000006,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Taylor Bruce C.,0001459350,,true,false,false,P,70283.0,11.25,790683.75,855842.0,I,1172770075.87603,0.0006742018459239583
2026-06-22,2026-06-23 00:00:00,0001459350-26-000006,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Taylor Bruce C.,0001459350,,true,false,false,P,29717.0,11.36,337585.12,785559.0,I,1172770075.87603,0.00028785277433671926
2026-06-17,2026-06-22 00:00:00,0001459349-26-000001,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Taylor Bruce C.,0001459350,,true,false,false,P,286410.0,11.27,3227840.6999999997,755842.0,I,1172770075.87603,0.0027523218458561736
2026-06-16,2026-06-17 00:00:00,0001459350-26-000004,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Taylor Bruce C.,0001459350,,true,false,false,P,13590.0,11.4,154926.0,469432.0,I,1172770075.87603,0.00013210262027215706
2026-06-15,2026-06-17 00:00:00,0001459350-26-000004,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Taylor Bruce C.,0001459350,,true,false,false,P,300000.0,11.29,3386999.9999999995,455842.0,I,1172770075.87603,0.0028880341250777522
2026-06-15,2026-06-17 00:00:00,0001825879-26-000004,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Pack Jay A,0001825879,,true,false,false,P,110719.0,11.34,1255553.46,539965.0,D,1172770075.87603,0.0010705879062118233
2026-06-15,2026-06-17 00:00:00,0001825879-26-000004,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Pack Jay A,0001825879,,true,false,false,P,77831.0,11.34,882603.54,90000.0,I,1172770075.87603,0.0007525802014863972
2026-06-12,2026-06-15 00:00:00,0001459350-26-000003,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Taylor Bruce C.,0001459350,,true,false,false,P,155842.0,11.16,1739196.72,155842.0,I,1172770075.87603,0.0014829818357198989
2026-06-12,2026-06-15 00:00:00,0001459350-26-000003,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Taylor Bruce C.,0001459350,,true,false,false,P,10000.0,11.14,111400.0,755505.0,D,1172770075.87603,9.498878108463586e-05
2026-06-11,2026-06-15 00:00:00,0001825879-26-000003,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Pack Jay A,0001825879,,true,false,false,P,25281.0,11.03,278849.43,429246.0,D,1172770075.87603,0.00023776990540256274
2026-06-11,2026-06-15 00:00:00,0001825879-26-000003,AVO,"Mission Produce, Inc.",0001802974,NASDAQ,0700,Agricultural Services,"Agriculture, Forestry, Fishing",Pack Jay A,0001825879,,true,false,false,P,12169.0,11.04,134345.75999999998,12169.0,I,1172770075.87603,0.0001145542189074419
