txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-01,2026-05-05 00:00:00,0001628280-26-030826,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,Dingemans Simon,0002104604,,true,false,false,P,25000.0,8.14,203500.0,25000.0,I,5755628247.220413,3.5356696308222654e-05
2026-03-10,2026-03-11 00:00:00,0001628280-26-016904,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,MEHRA SANJEEV K,0001029623,,true,false,false,P,125000.0,8.01,1001250.0,475000.0,I,5755628247.220413,0.0001739601581258375
2026-02-19,2026-02-23 00:00:00,0001628280-26-010832,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,LUCIER GREGORY T,0001251299,,true,false,false,P,50000.0,9.16,458000.0,50000.0,I,5755628247.220413,7.957428456592617e-05
2026-02-12,2026-02-12 00:00:00,0001628280-26-007802,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,SUMME GREGORY L,0001143422,,true,false,false,P,100000.0,9.4,940000.0,400000.0,I,5755628247.220413,0.00016331840063749038
2025-12-05,2025-12-09 00:00:00,0001628280-25-056173,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,MEHRA SANJEEV K,0001029623,,true,false,false,P,350000.0,11.09,3881500.0,350000.0,I,5755628247.220413,0.0006743833745472542
2025-11-17,2025-11-17 00:00:00,0002082879-25-000003,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,Ligner Emmanuel,0002082879,President and CEO,true,true,false,P,87500.0,11.35,993125.0,283424.0,D,5755628247.220413,0.0001725484964181996
2025-10-30,2025-10-31 00:00:00,0001628280-25-047702,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,SUMME GREGORY L,0001143422,,true,false,false,P,100000.0,11.25,1125000.0,300000.0,I,5755628247.220413,0.0001954608518267837
2025-08-21,2025-08-22 00:00:00,0001722482-25-000209,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,SUMME GREGORY L,0001143422,,true,false,false,P,100000.0,12.56,1256000.0,200000.0,I,5755628247.220413,0.0002182211821283914
2025-05-23,2025-05-27 00:00:00,0001722482-25-000165,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,SUMME GREGORY L,0001143422,,true,false,false,P,30000.0,12.5,375000.0,100000.0,I,5755628247.220413,6.515361727559456e-05
2025-05-22,2025-05-22 00:00:00,0001722482-25-000163,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,SUMME GREGORY L,0001143422,,true,false,false,P,20000.0,12.65,253000.0,70000.0,I,5755628247.220413,4.395697378860114e-05
2025-05-07,2025-05-09 00:00:00,0001722482-25-000108,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,SUMME GREGORY L,0001143422,,true,false,false,P,25000.0,12.0,300000.0,50000.0,I,5755628247.220413,5.2122893820475655e-05
