txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-06,2026-08-07 00:00:00,0001193125-26-340202,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,39.0,1.26,49.14,959506.0,D,27702048.573956966,1.7738760319046266e-06
2026-08-05,2026-08-07 00:00:00,0001193125-26-340202,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,10030.0,1.24,12437.2,959467.0,D,27702048.573956966,0.0004489631864876724
2026-08-03,2026-08-04 00:00:00,0001193125-26-333245,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,10433.0,1.21,12623.93,949167.0,D,27702048.573956966,0.0004557038432120833
2026-07-31,2026-08-04 00:00:00,0001193125-26-333245,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,10060.0,1.18,11870.8,938734.0,D,27702048.573956966,0.00042851704516755064
2026-06-12,2026-06-16 00:00:00,0001193125-26-273111,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,9826.0,1.42,13952.92,923837.0,D,27702048.573956966,0.0005036782735670065
2026-06-02,2026-06-03 00:00:00,0001193125-26-255448,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Traverse David K,0001998257,Chief Financial Officer,false,true,false,P,5000.0,1.46,7300.0,73707.0,D,27702048.573956966,0.0002635184174380092
2026-05-26,2026-05-26 00:00:00,0001193125-26-239604,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,5163.0,1.23,6350.49,914011.0,D,27702048.573956966,0.0002292426129802607
2026-05-22,2026-05-26 00:00:00,0001193125-26-239604,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,3000.0,1.26,3780.0,908848.0,D,27702048.573956966,0.00013645200245420203
2026-05-21,2026-05-26 00:00:00,0001193125-26-239604,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,2600.0,1.23,3198.0,903248.0,D,27702048.573956966,0.00011544272588585664
2026-05-15,2026-05-18 00:00:00,0001193125-26-228945,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,10140.0,1.25,12675.0,903248.0,D,27702048.573956966,0.0004575473891817489
2026-05-14,2026-05-14 00:00:00,0001193125-26-224494,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,STAFFORD JOHN S III,0001218981,,true,false,false,P,57937.0,1.25,72421.25,5221954.0,D,27702048.573956966,0.002614292217655127
2026-05-14,2026-05-18 00:00:00,0001193125-26-228945,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,734.0,1.21,888.14,893108.0,D,27702048.573956966,3.206044483060185e-05
2026-05-13,2026-05-14 00:00:00,0001193125-26-224494,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,STAFFORD JOHN S III,0001218981,,true,false,false,P,22475.0,1.25,28093.75,5164017.0,D,27702048.573956966,0.0010141397999861741
2026-05-08,2026-05-12 00:00:00,0001193125-26-220254,AWRE,AWARE INC /MA/,0001015739,NASDAQ,7372,Services-Prepackaged Software,Services,Amlani Ajay K,0002054667,President & CEO,true,true,false,P,9480.0,1.3,12324.0,892374.0,D,27702048.573956966,0.00044487684609671583
