txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-20,2026-05-22 00:00:00,0001104659-26-065792,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,5000.0,24.4982,122491.0,493133.0,D,142603744.6676998,0.0008589606134497573
2026-05-13,2026-05-15 00:00:00,0001104659-26-062805,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,1156.0,24.724,28580.944,488133.0,D,142603744.6676998,0.00020042211420604912
2026-05-01,2026-05-01 00:00:00,0001104659-26-054268,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,3000.0,27.85,83550.0,486977.0,D,142603744.6676998,0.0005858892429135791
2026-04-29,2026-05-01 00:00:00,0001104659-26-054268,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,5000.0,27.7413,138706.5,483977.0,D,142603744.6676998,0.0009726708111572994
2026-04-21,2026-04-22 00:00:00,0001104659-26-046860,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",McNaney Timothy S,0002108273,,true,false,false,P,1765.0,28.17,49720.05,1765.0,I,142603744.6676998,0.00034865879655446205
2026-04-20,2026-04-20 00:00:00,0001104659-26-045589,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,1519.0,27.25,41392.75,478977.0,D,142603744.6676998,0.0002902641168116224
2026-04-17,2026-04-20 00:00:00,0001104659-26-045589,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,1000.0,27.6585,27658.5,477458.0,D,142603744.6676998,0.00019395353231747733
2026-03-31,2026-04-02 00:00:00,0001104659-26-039263,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,2060.0,27.923,57521.38,476458.0,D,142603744.6676998,0.00040336514398018307
2026-03-26,2026-03-27 00:00:00,0001104659-26-036322,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,1900.0,27.164,51611.600000000006,474398.0,D,142603744.6676998,0.00036192317474037684
2026-03-26,2026-03-27 00:00:00,0001104659-26-036322,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,1800.0,25.4356,45784.08,472198.0,D,142603744.6676998,0.00032105804869772287
2026-03-26,2026-03-27 00:00:00,0001104659-26-036322,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,300.0,26.05,7815.0,472498.0,D,142603744.6676998,5.480220746103676e-05
2026-03-03,2026-03-04 00:00:00,0001104659-26-023521,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,3200.0,25.6939,82220.48,470398.0,D,142603744.6676998,0.0005765660655797855
2026-03-02,2026-03-27 00:00:00,0001104659-26-036149,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,3200.0,25.6939,82220.48,470398.0,D,142603744.6676998,0.0005765660655797855
