txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-13,2026-05-13 00:00:00,0002064118-26-000004,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,1000.0,28.6,28600.0,20943.0,D,770190607.6300201,3.713366498717251e-05
2026-03-26,2026-03-26 00:00:00,0002064118-26-000003,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,1000.0,29.3965,29396.5,19943.0,D,770190607.6300201,3.816782457326632e-05
2026-03-20,2026-03-20 00:00:00,0002064118-26-000002,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,500.0,27.88,13940.0,18943.0,D,770190607.6300201,1.8099415731509958e-05
2026-03-19,2026-03-20 00:00:00,0002064118-26-000002,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,500.0,27.925,13962.5,18443.0,D,770190607.6300201,1.8128629279139725e-05
2026-03-13,2026-03-16 00:00:00,0001681778-26-000003,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Kramer Gary,0001681778,President & CEO,false,true,false,P,8370.0,26.8898,225067.62600000002,328801.0,D,770190607.6300201,0.0002922232805364419
2026-03-03,2026-03-03 00:00:00,0002064118-26-000001,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,1000.0,27.595,27595.0,17943.0,D,770190607.6300201,3.5828793193042846e-05
2026-03-02,2026-03-03 00:00:00,0002064118-26-000001,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,1000.0,27.72,27720.0,16943.0,D,770190607.6300201,3.599109067987489e-05
2025-11-11,2025-11-12 00:00:00,0001945290-25-000003,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Clabby Joseph Stephen,0001945290,,true,false,false,P,1000.0,34.83,34830.0,15391.0,D,770190607.6300201,4.522257173088177e-05
2025-11-10,2025-11-12 00:00:00,0002064118-25-000002,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,1000.0,34.3875,34387.5,15943.0,D,770190607.6300201,4.464803862749632e-05
2025-09-11,2025-09-12 00:00:00,0002064118-25-000001,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,500.0,47.0599,23529.95,14943.0,D,770190607.6300201,3.0550814002269924e-05
2025-06-11,2025-06-12 00:00:00,0001562180-25-004737,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,1000.0,41.9289,41928.9,13850.0,D,770190607.6300201,5.4439640765057955e-05
2025-06-10,2025-06-12 00:00:00,0001562180-25-004737,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,1000.0,42.4636,42463.6,12850.0,D,770190607.6300201,5.513388449473072e-05
2025-06-03,2025-06-03 00:00:00,0001562180-25-004388,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,2000.0,41.7799,83559.79999999999,11850.0,D,770190607.6300201,0.0001084923643215083
2025-06-02,2025-06-02 00:00:00,0001562180-25-004306,BBSI,BARRETT BUSINESS SERVICES INC,0000902791,NASDAQ,7363,Services-Help Supply Services,Services,Finn Mark Steven,0002064118,,true,false,false,P,1000.0,41.3493,41349.3,9850.0,D,770190607.6300201,5.368709977811512e-05
