txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-23,2026-03-24 00:00:00,0001193125-26-121590,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Grunebaum George,0001580706,,true,false,false,P,6800.0,7.5399,51271.32,14136.0,D,96367120.41879511,0.0005320416318053665
2026-03-23,2026-03-24 00:00:00,0000945621-26-000488,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Held David,0001870552,Chief Compliance Officer,false,true,false,P,938.0,7.3499,6894.2062,1258.0,D,96367120.41879511,7.154106265745985e-05
2026-03-23,2026-03-23 00:00:00,0000945621-26-000479,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Satoren Brandon,0001894209,"CFO, Treasurer and Secretary",false,true,false,P,325.0,7.47,2427.75,5011.0,D,96367120.41879511,2.5192721225345446e-05
2026-03-20,2026-03-23 00:00:00,0000945621-26-000481,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Schafer Patrick,0001772591,Chief Investment Officer,true,true,false,P,2655.0,7.4774,19852.497,27265.0,D,96367120.41879511,0.0002060090299857921
2026-03-20,2026-03-23 00:00:00,0000945621-26-000477,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Duka Alexander,0001738064,,true,false,false,P,2000.0,7.335,14670.0,3000.0,D,96367120.41879511,0.0001522303451244229
2025-12-12,2025-12-16 00:00:00,0001193125-25-321391,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Goldthorpe Edward J.,0001549748,"President, CEO",true,true,false,P,73367.0,13.63,999992.2100000001,86140.0,D,96367120.41879511,0.010376902471031655
2025-12-12,2025-12-16 00:00:00,0000945621-25-001215,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Schafer Patrick,0001772591,Chief Investment Officer,true,true,false,P,11005.0,13.63,149998.15,24610.0,D,96367120.41879511,0.001556528298740624
2025-12-12,2025-12-16 00:00:00,0001193125-25-321016,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Grunebaum George,0001580706,,true,false,false,P,7336.0,13.63,99989.68000000001,7336.0,D,96367120.41879511,0.0010375912403054264
2025-12-12,2025-12-16 00:00:00,0001193125-25-321007,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Morea Joseph,0001554534,,true,false,false,P,3668.0,13.63,49994.840000000004,4530.0,D,96367120.41879511,0.0005187956201527132
2025-12-12,2025-12-16 00:00:00,0000945621-25-001213,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Satoren Brandon,0001894209,"CFO, Treasurer and Secretary",false,true,false,P,2567.0,13.63,34988.21,4686.0,D,96367120.41879511,0.0003630720711374086
2025-09-19,2025-09-23 00:00:00,0000945621-25-000868,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Satoren Brandon,0001894209,"CFO, Treasurer and Secretary",false,true,false,P,1000.0,12.35,12350.0,2116.1298,D,96367120.41879511,0.00012815574385048554
2025-09-19,2025-09-23 00:00:00,0000945621-25-000870,BCIC,BCP Investment Corp,0001372807,NASDAQ,,,,Schafer Patrick,0001772591,Chief Investment Officer,true,true,false,P,809.0,12.3338,9978.0442,13114.598,D,96367120.41879511,0.00010354199810720832
