txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-12,2026-08-13 00:00:00,0000905148-26-003641,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,false,false,true,P,15000.0,24.4661,366991.5,555810.0,I,251011106.87983704,0.001462052833286316
2026-08-11,2026-08-12 00:00:00,0000905148-26-003599,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,false,false,true,P,13700.0,24.0081,328910.97,540810.0,I,251011106.87983704,0.001310344287503799
2026-08-10,2026-08-12 00:00:00,0000905148-26-003599,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,false,false,true,P,13900.0,24.2467,337029.13,527110.0,I,251011106.87983704,0.0013426861232931065
2026-01-26,2026-01-27 00:00:00,0000905148-26-000362,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,false,false,true,P,20000.0,11.8032,236064.0,1563210.0,I,251011106.87983704,0.0009404524083988345
2026-01-23,2026-01-27 00:00:00,0000905148-26-000362,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,false,false,true,P,80000.0,11.8084,944672.0,1543210.0,I,251011106.87983704,0.003763466930777009
2026-01-22,2026-01-26 00:00:00,0000905148-26-000331,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,false,false,true,P,82465.0,10.9569,903560.7584999999,1463210.0,I,251011106.87983704,0.0035996843714670708
2025-09-19,2025-09-23 00:00:00,0000905148-25-003392,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,true,false,true,P,142045.0,7.04,999996.8,1380745.0,I,251011106.87983704,0.003983874707499354
2025-09-18,2025-09-19 00:00:00,0000905148-25-003371,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,true,false,true,P,3056.0,6.1695,18853.992000000002,1238700.0,I,251011106.87983704,7.511218222317829e-05
2025-09-17,2025-09-19 00:00:00,0000905148-25-003371,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,true,false,true,P,15317.0,6.0437,92571.3529,1235644.0,I,251011106.87983704,0.0003687938515976321
2025-08-29,2025-09-03 00:00:00,0000905148-25-003281,BDSX,BIODESIX INC,0001439725,NASDAQ,8071,Services-Medical Laboratories,Services,SCHULER JACK W,0001021412,,true,false,true,P,3488372.0,0.43,1499999.96,24406546.0,I,251011106.87983704,0.005975831024553322
