txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-11,2026-06-11 00:00:00,0001059244-26-000007,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",FRATER HUGH R,0001059244,,true,false,false,P,5150.0,24.34,125351.0,6326.0,D,559112839.6538143,0.0002241962464636182
2026-05-22,2026-05-26 00:00:00,0001401336-26-000016,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Talwar Harit,0001401336,,true,false,false,P,5000.0,25.3392,126696.00000000001,44698.0,D,559112839.6538143,0.0002266018431600432
2026-05-21,2026-05-21 00:00:00,0001297602-26-000029,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,15600.0,24.8928,388327.68,118260.0,D,559112839.6538143,0.0006945425904374521
2026-05-20,2026-05-20 00:00:00,0001297602-26-000027,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,15000.0,25.0,375000.0,102660.0,D,559112839.6538143,0.0006707053986314973
2026-05-20,2026-05-20 00:00:00,0001297602-26-000027,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,600.0,24.99,14993.999999999998,87660.0,D,559112839.6538143,2.6817484658881788e-05
2026-05-18,2026-05-18 00:00:00,0001297602-26-000025,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,6510.0,25.0,162750.0,87060.0,D,559112839.6538143,0.00029108614300606985
2026-05-18,2026-05-18 00:00:00,0001297602-26-000025,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,3900.0,24.74,96486.0,78693.0,D,559112839.6538143,0.00017256981624628974
2026-05-18,2026-05-18 00:00:00,0001297602-26-000025,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,3333.0,24.71,82358.43000000001,74793.0,D,559112839.6538143,0.00014730198299683808
2026-05-18,2026-05-18 00:00:00,0001297602-26-000025,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,1257.0,24.99,31412.429999999997,80550.0,D,559112839.6538143,5.618263036035735e-05
2026-05-18,2026-05-18 00:00:00,0001297602-26-000025,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,600.0,24.97,14982.0,79293.0,D,559112839.6538143,2.6796022086125584e-05
2026-05-12,2026-05-13 00:00:00,0002111354-26-000011,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Advani Loveen,0002111354,Chief Financial Officer,false,true,false,P,400.0,30.55,12220.0,510.0,D,559112839.6538143,2.1856053256738394e-05
2026-05-11,2026-05-13 00:00:00,0002111354-26-000011,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Advani Loveen,0002111354,Chief Financial Officer,false,true,false,P,100.0,31.25,3125.0,110.0,D,559112839.6538143,5.589211655262478e-06
2026-05-08,2026-05-11 00:00:00,0001401336-26-000014,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Talwar Harit,0001401336,,true,false,false,P,3000.0,30.43,91290.0,39698.0,D,559112839.6538143,0.0001632765222428517
2026-05-07,2026-05-07 00:00:00,0001297602-26-000023,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,6483.0,30.0,194490.0,71460.0,D,559112839.6538143,0.0003478546479462398
2026-05-07,2026-05-07 00:00:00,0001297602-26-000023,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,100.0,29.95,2995.0,64977.0,D,559112839.6538143,5.356700450403559e-06
2026-04-10,2026-04-10 00:00:00,0001437749-26-012081,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Framework Ventures IV L.P.,0002028474,,false,false,true,P,54384.0,32.96,1792496.6400000001,1006696.0,I,559112839.6538143,0.003205965795938186
2026-04-09,2026-04-09 00:00:00,0001401336-26-000011,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Talwar Harit,0001401336,,true,false,false,P,5000.0,32.8863,164431.5,36698.0,D,559112839.6538143,0.0002940935860135335
2026-04-08,2026-04-08 00:00:00,0001297602-26-000021,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,10000.0,35.0519,350519.00000000006,64877.0,D,559112839.6538143,0.0006269199616611036
2026-04-08,2026-04-08 00:00:00,0001828689-26-000008,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Orn Jonsson Sigurgeir,0001828689,Chief Technology Officer,false,true,false,P,979.0,36.09,35332.11,3497.0,D,559112839.6538143,6.319316512544511e-05
2026-04-08,2026-04-08 00:00:00,0001401336-26-000009,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Talwar Harit,0001401336,,true,false,false,P,1000.0,33.34,33340.0,31698.0,D,559112839.6538143,5.963018130766433e-05
2026-04-08,2026-04-08 00:00:00,0001437224-26-000005,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",MENON BHASKAR,0001437224,,true,false,false,P,590.0,34.135,20139.649999999998,2090.0,D,559112839.6538143,3.602072528413022e-05
2026-04-08,2026-04-08 00:00:00,0001828689-26-000008,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Orn Jonsson Sigurgeir,0001828689,Chief Technology Officer,false,true,false,P,21.0,36.05,757.05,2518.0,D,559112839.6538143,1.3540200587572667e-06
2026-04-08,2026-04-08 00:00:00,0002111354-26-000008,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Advani Loveen,0002111354,Chief Financial Officer,false,true,false,P,10.0,35.5,355.0,10.0,D,559112839.6538143,6.349344440378175e-07
2026-04-02,2026-04-06 00:00:00,0001401336-26-000006,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Talwar Harit,0001401336,,true,false,false,P,5000.0,35.2436,176218.0,30698.0,D,559112839.6538143,0.0003151743038294539
2026-03-25,2026-03-25 00:00:00,0001297602-26-000019,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,2217.0,29.9045,66298.27649999999,54877.0,D,559112839.6538143,0.00011857763191603661
2026-03-24,2026-03-24 00:00:00,0001297602-26-000017,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,6701.0,28.3743,190136.18430000002,48761.0,D,559112839.6538143,0.00034006764076054233
2026-03-24,2026-03-24 00:00:00,0001297602-26-000017,BETR,Better Home & Finance Holding Co,0001835856,NASDAQ,6163,SIC 6163,"Finance, Insurance, Real Estate",Garg Vishal,0001297602,Chief Executive Officer,true,true,true,P,2900.0,30.0603,87174.87000000001,52660.0,D,559112839.6538143,0.00015591641582399725
