txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-09,2026-09-10 00:00:00,0000912282-26-001260,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,980.0,6.3,6174.0,24186.0,D,39801146.476392746,0.00015512115972995865
2026-09-09,2026-09-10 00:00:00,0000912282-26-001260,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,150.0,6.66,999.0,23206.0,D,39801146.476392746,2.509977948983296e-05
2026-09-02,2026-09-02 00:00:00,0000912282-26-001201,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,4000.0,6.29,25160.0,1650000.0,D,39801146.476392746,0.000632142594558756
2026-09-01,2026-09-02 00:00:00,0000912282-26-001201,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,16000.0,6.46,103360.0,1646000.0,D,39801146.476392746,0.002596910118187322
2026-08-31,2026-09-02 00:00:00,0000912282-26-001201,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,30000.0,6.66,199800.0,1630000.0,D,39801146.476392746,0.005019955897966592
2026-08-28,2026-09-02 00:00:00,0000912282-26-001201,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,135.0,6.64,896.4,23056.0,D,39801146.476392746,2.252196429898525e-05
2026-08-27,2026-08-31 00:00:00,0000912282-26-001189,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,135.0,7.245,978.075,21990.0,D,39801146.476392746,2.4574040865383755e-05
2026-08-21,2026-08-21 00:00:00,0000912282-26-001145,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,5000.0,7.54,37700.0,105000.0,D,39801146.476392746,0.000947208895662365
2026-08-21,2026-08-21 00:00:00,0000912282-26-001145,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,1000.0,7.41,7410.0,21855.0,D,39801146.476392746,0.00018617554156122345
2026-08-20,2026-08-21 00:00:00,0000912282-26-001145,BGDE,"Big Digital Energy, Inc.",0001218683,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate","Endeavor Blockchain, LLC",0002101945,,false,false,true,P,2098.0,7.09,14874.82,20855.0,D,39801146.476392746,0.0003737284303813384
