txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-11-07,2025-11-10 00:00:00,0001193125-25-274945,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Bremner Thomas S,0002087538,,true,false,false,P,17791.0,60.0,1067460.0,693143.0,I,4565511840.096954,0.0002338094911122454
2025-11-07,2025-11-12 00:00:00,0001193125-25-278118,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Johnson Nancy JoAnn,0002087387,See Remarks,false,true,false,P,6900.0,60.0,414000.0,35900.0,D,4565511840.096954,9.067986558790924e-05
2025-11-07,2025-11-10 00:00:00,0001193125-25-274945,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Bremner Thomas S,0002087538,,true,false,false,P,6867.0,60.0,412020.0,246939.0,I,4565511840.096954,9.024617927422794e-05
2025-11-07,2025-11-10 00:00:00,0001193125-25-274945,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Bremner Thomas S,0002087538,,true,false,false,P,5446.0,60.0,326760.0,275364.0,I,4565511840.096954,7.157138376692083e-05
2025-11-07,2025-11-10 00:00:00,0001193125-25-274945,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Bremner Thomas S,0002087538,,true,false,false,P,4084.0,60.0,245040.0,159795.0,I,4565511840.096954,5.367196682043787e-05
2025-11-07,2025-11-10 00:00:00,0001193125-25-274945,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Bremner Thomas S,0002087538,,true,false,false,P,4016.0,60.0,240960.0,156456.0,I,4565511840.096954,5.277831017406428e-05
2025-11-07,2025-11-10 00:00:00,0001193125-25-274945,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Bremner Thomas S,0002087538,,true,false,false,P,3462.0,60.0,207720.0,179733.0,I,4565511840.096954,4.549763690802055e-05
2025-11-07,2025-11-12 00:00:00,0001193125-25-278115,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Rai Akshay,0002087877,,true,false,false,P,2500.0,60.0,150000.0,13509.0,D,4565511840.096954,3.285502376373523e-05
2025-11-07,2025-11-12 00:00:00,0001193125-25-278138,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Tsao David,0002087127,Chief Technology Officer,true,true,false,P,1000.0,60.0,60000.0,1000.0,D,4565511840.096954,1.3142009505494093e-05
2025-11-07,2025-11-12 00:00:00,0001193125-25-278131,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,ten Bosch John Roderick,0002087126,See Remarks,false,true,false,P,800.0,60.0,48000.0,37800.0,D,4565511840.096954,1.0513607604395274e-05
2025-11-07,2025-11-12 00:00:00,0001193125-25-278144,BLLN,"BillionToOne, Inc.",0002070849,NASDAQ,8071,Services-Medical Laboratories,Services,Lynch Thomas P.,0001659824,See Remarks,false,true,false,P,100.0,60.0,6000.0,700.0,D,4565511840.096954,1.3142009505494092e-06
