txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-19,2026-05-19 00:00:00,0001493152-26-024402,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Liuzza Nicholas Reyland JR,0001264473,Chief Executive Officer,true,true,true,P,51525.0,1.04,53586.0,4196248.0,D,39285178.08265662,0.001364025890050803
2026-05-19,2026-05-19 00:00:00,0001493152-26-024457,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Moe Christopher R.,0001930171,Chief Financial Officer,false,true,false,P,10000.0,1.0393,10392.999999999998,50000.0,D,39285178.08265662,0.0002645527017373567
2026-05-19,2026-05-19 00:00:00,0001493152-26-024407,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Milton Tiffany,0002066590,Chief Accounting Officer,false,true,false,P,10000.0,1.02,10200.0,10003.0,I,39285178.08265662,0.00025963990741085716
2026-05-19,2026-05-19 00:00:00,0001493152-26-024407,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Milton Tiffany,0002066590,Chief Accounting Officer,false,true,false,P,5000.0,1.02,5100.0,15003.0,I,39285178.08265662,0.00012981995370542858
2025-11-26,2025-11-28 00:00:00,0001493152-25-025315,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,1000.0,1.85,1850.0,364891.0,D,39285178.08265662,4.709155183432213e-05
2025-11-21,2025-11-24 00:00:00,0001493152-25-024757,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,3000.0,1.46,4380.0,363891.0,D,39285178.08265662,0.00011149243082936807
2025-11-19,2025-11-19 00:00:00,0001493152-25-024284,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Moe Christopher R.,0001930171,Chief Financial Officer,false,true,false,P,20000.0,1.68,33600.0,40000.0,D,39285178.08265662,0.0008552844008828236
2025-11-19,2025-11-19 00:00:00,0001493152-25-024242,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,7000.0,1.62,11340.0,360891.0,D,39285178.08265662,0.00028865848529795293
2025-09-25,2025-09-29 00:00:00,0001493152-25-016131,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,10000.0,4.2193,42192.99999999999,165920.0,D,39285178.08265662,0.001074018295430029
2025-09-03,2025-09-03 00:00:00,0001641172-25-026393,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Milton Tiffany,0002066590,Chief Accounting Officer,false,true,false,P,10000.0,1.59,15900.0,10003.0,I,39285178.08265662,0.00040473279684633613
2025-09-03,2025-09-04 00:00:00,0001493152-25-012617,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Moe Christopher R.,0001930171,Chief Financial Officer,false,true,false,P,6270.0,1.635,10251.45,8355.0,D,39285178.08265662,0.000260949561649709
2025-09-03,2025-09-04 00:00:00,0001493152-25-012617,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Moe Christopher R.,0001930171,Chief Financial Officer,false,true,false,P,6209.0,1.65,10244.849999999999,14564.0,D,39285178.08265662,0.0002607815593566784
2025-09-03,2025-09-04 00:00:00,0001493152-25-012617,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Moe Christopher R.,0001930171,Chief Financial Officer,false,true,false,P,3007.0,1.64,4931.48,17571.0,D,39285178.08265662,0.00012553029515671507
2025-09-03,2025-09-04 00:00:00,0001493152-25-012617,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Moe Christopher R.,0001930171,Chief Financial Officer,false,true,false,P,2429.0,1.645,3995.705,20000.0,D,39285178.08265662,0.0001017102427687352
2025-09-03,2025-09-04 00:00:00,0001493152-25-012617,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Moe Christopher R.,0001930171,Chief Financial Officer,false,true,false,P,2085.0,1.63,3398.5499999999997,2085.0,D,39285178.08265662,8.650972620893809e-05
2025-06-17,2025-06-17 00:00:00,0001641172-25-015386,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,5000.0,0.67,3350.0,155920.0,D,39285178.08265662,8.527389115944818e-05
2025-06-17,2025-06-17 00:00:00,0001641172-25-015386,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,2000.0,0.67,1340.0,148920.0,D,39285178.08265662,3.410955646377927e-05
2025-06-17,2025-06-17 00:00:00,0001641172-25-015386,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,2000.0,0.6699,1339.8000000000002,146920.0,D,39285178.08265662,3.410446548520259e-05
2025-06-17,2025-06-17 00:00:00,0001641172-25-015386,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,2000.0,0.665,1330.0,150920.0,D,39285178.08265662,3.38550075349451e-05
2025-06-17,2025-06-17 00:00:00,0001641172-25-015386,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,2000.0,0.665,1330.0,142920.0,D,39285178.08265662,3.38550075349451e-05
2025-06-17,2025-06-17 00:00:00,0001641172-25-015386,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,1380.0,0.665,917.7,144300.0,D,39285178.08265662,2.335995519911212e-05
2025-06-17,2025-06-17 00:00:00,0001641172-25-015386,BLNE,"Beeline Holdings, Inc.",0001534708,NASDAQ,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Freedman Joseph David,0001840083,,true,false,false,P,620.0,0.66,409.20000000000005,144920.0,D,39285178.08265662,1.0416142167894388e-05
