txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-27,2026-05-27 00:00:00,0001437749-26-018632,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Royal Jeffrey C,0001720104,,true,false,false,P,10000.0,12.82,128200.0,31046.0,I,382791488.76934433,0.00033490817784939957
2026-05-27,2026-05-27 00:00:00,0001437749-26-018632,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Royal Jeffrey C,0001720104,,true,false,false,P,10000.0,12.72,127200.0,69644.0,D,382791488.76934433,0.00033229578956664295
2026-05-26,2026-05-27 00:00:00,0001437749-26-018632,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Royal Jeffrey C,0001720104,,true,false,false,P,11046.0,12.8176,141583.2096,21046.0,I,382791488.76934433,0.0003698703177941156
2026-05-22,2026-05-27 00:00:00,0001437749-26-018632,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Royal Jeffrey C,0001720104,,true,false,false,P,10000.0,12.4,124000.0,10000.0,I,382791488.76934433,0.0003239361470618217
2025-12-11,2025-12-30 00:00:00,0001437749-25-038935,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Burt Thomas,0002038879,,true,false,false,P,14738.0,13.6241,200791.9858,21632.0,D,382791488.76934433,0.000524546630975355
2025-12-03,2025-12-30 00:00:00,0001437749-25-038934,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Kenan Frank H. II,0001710114,,true,false,false,P,16743.0,12.9413,216676.1859,265239.0,I,382791488.76934433,0.0005660423291975567
2025-12-03,2025-12-30 00:00:00,0001437749-25-038934,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Kenan Frank H. II,0001710114,,true,false,false,P,8000.0,12.919,103352.0,111390.0,I,382791488.76934433,0.00026999555379946286
2025-12-02,2025-12-30 00:00:00,0001437749-25-038934,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Kenan Frank H. II,0001710114,,true,false,false,P,6496.0,12.6736,82327.7056,248496.0,I,382791488.76934433,0.00021507193345567712
2025-12-02,2025-12-30 00:00:00,0001437749-25-038934,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Kenan Frank H. II,0001710114,,true,false,false,P,4452.0,12.65,56317.8,4452.0,I,382791488.76934433,0.00014712396083063116
2025-12-01,2025-12-30 00:00:00,0001437749-25-038934,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Kenan Frank H. II,0001710114,,true,false,false,P,44196.0,12.6735,560118.006,242000.0,I,382791488.76934433,0.001463245715835406
2025-12-01,2025-12-30 00:00:00,0001437749-25-038988,BOC,BOSTON OMAHA Corp,0001494582,NYSE,6510,Real Estate Operators (No Developers) & Lessors,"Finance, Insurance, Real Estate",Royal Jeffrey C,0001720104,,true,false,false,P,10000.0,12.7199,127199.00000000001,59644.0,D,382791488.76934433,0.0003322931771783602
