txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-16,2026-07-16 00:00:00,0001178579-26-000015,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,18491.0,2.44,45118.04,2854072.0,I,55962194.944336176,0.0008062235594025125
2026-07-15,2026-07-16 00:00:00,0001178579-26-000015,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,1600.0,2.44,3904.0,2835581.0,I,55962194.944336176,6.976138094446054e-05
2026-07-14,2026-07-16 00:00:00,0001178579-26-000015,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,43878.0,2.43,106623.54000000001,2833981.0,I,55962194.944336176,0.0019052780203859957
2026-07-13,2026-07-13 00:00:00,0001178579-26-000011,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,48211.0,2.42,116670.62,2790103.0,I,55962194.944336176,0.002084811364458606
2026-07-10,2026-07-13 00:00:00,0001178579-26-000011,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,43367.0,2.43,105381.81000000001,2741892.0,I,55962194.944336176,0.0018830892909904617
2026-07-09,2026-07-13 00:00:00,0001178579-26-000011,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,7.0,2.48,17.36,2698525.0,I,55962194.944336176,3.1020941936368723e-07
2026-07-08,2026-07-08 00:00:00,0001178579-26-000010,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,14338.0,2.46,35271.479999999996,2698518.0,I,55962194.944336176,0.0006302733485540269
2026-07-07,2026-07-08 00:00:00,0001178579-26-000010,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,15810.0,2.48,39208.8,2684180.0,I,55962194.944336176,0.0007006301314485566
2026-07-06,2026-07-08 00:00:00,0001178579-26-000010,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,27062.0,2.49,67384.38,2668370.0,I,55962194.944336176,0.0012041053798376763
2026-07-02,2026-07-02 00:00:00,0001178579-26-000009,BOLD,"Boundless Bio, Inc.",0001782303,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,TANG KEVIN,0001178579,,false,false,true,P,9821.0,2.49,24454.29,2641308.0,I,55962194.944336176,0.0004369787501066373
