txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-25,2026-08-25 00:00:00,0001628280-26-058766,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Troim Tor Olav,0001709630,,true,false,false,P,200000.0,4.3731,874620.0,29385941.0,I,1372881638.6058645,0.0006370687577176428
2026-08-14,2026-08-17 00:00:00,0001628280-26-057216,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Troim Tor Olav,0001709630,,true,false,false,P,500000.0,4.3868,2193400.0,29185941.0,I,1372881638.6058645,0.001597661399439617
2026-08-13,2026-08-14 00:00:00,0001628280-26-056941,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Troim Tor Olav,0001709630,,true,false,false,P,1500000.0,4.0245,6036750.0,28685941.0,I,1372881638.6058645,0.004397137983526538
2026-08-13,2026-08-14 00:00:00,0001628280-26-056928,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Currie Jeffrey,0002117662,,true,false,false,P,125000.0,4.0131,501637.49999999994,479423.0,D,1372881638.6058645,0.0003653902025446297
2026-06-17,2026-06-22 00:00:00,0001628280-26-044543,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Schorn Patrick,0001512880,,true,false,false,P,1200000.0,1.66,1992000.0,3535000.0,D,1372881638.6058645,0.0014509626642125089
2026-06-17,2026-06-22 00:00:00,0001628280-26-044540,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Morand De Oliveira Bruno,0002117088,Chief Executive Officer,false,true,false,P,275000.0,1.66,456500.0,969828.0,D,1372881638.6058645,0.00033251227721536663
2026-06-09,2026-06-10 00:00:00,0001628280-26-042068,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Troim Tor Olav,0001709630,,true,false,false,P,1063000.0,4.7,4996100.0,27185941.0,I,1372881638.6058645,0.0036391338186105
2026-04-16,2026-04-17 00:00:00,0001628280-26-025616,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Troim Tor Olav,0001709630,,true,false,false,P,500000.0,5.5818,2790900.0,26122941.0,I,1372881638.6058645,0.0020328773592121945
2026-03-24,2026-03-26 00:00:00,0001628280-26-021237,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Troim Tor Olav,0001709630,,true,false,false,P,500000.0,5.1958,2597900.0,25622941.0,I,1372881638.6058645,0.0018922971412438138
2026-03-24,2026-03-26 00:00:00,0001628280-26-021241,BORR,Borr Drilling Ltd,0001715497,NYSE,1381,Drilling Oil & Gas Wells,Mining,Currie Jeffrey,0002117662,,true,false,false,P,250000.0,5.31,1327500.0,354423.0,D,1372881638.6058645,0.0009669442453524626
