txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-11-20,2025-11-21 00:00:00,0001193125-25-290761,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,2000.0,32.3,64599.99999999999,13604.0,I,239762871.70410156,0.0002694328756611022
2025-11-19,2025-11-21 00:00:00,0001193125-25-290761,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,1056.0,32.2473,34053.1488,11604.0,I,239762871.70410156,0.0001420284490170188
2025-11-18,2025-11-19 00:00:00,0001193125-25-288009,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,2000.0,32.3,64599.99999999999,10548.0,I,239762871.70410156,0.0002694328756611022
2025-11-17,2025-11-19 00:00:00,0001193125-25-288009,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,1000.0,33.0,33000.0,8548.0,I,239762871.70410156,0.00013763598911480454
2025-11-12,2025-11-13 00:00:00,0001193125-25-280587,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,5000.0,32.9995,164997.5,7548.0,I,239762871.70410156,0.0006881695186051503
2025-11-11,2025-11-13 00:00:00,0001193125-25-280587,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,52.0,33.0,1716.0,2548.0,I,239762871.70410156,7.157071433969836e-06
2025-11-07,2025-11-12 00:00:00,0001193125-25-276226,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,493.0,33.0,16269.0,2496.0,I,239762871.70410156,6.785454263359864e-05
2025-11-05,2025-11-06 00:00:00,0001193125-25-268393,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,3.0,32.6,97.80000000000001,2003.0,I,239762871.70410156,4.079030222856935e-07
2025-11-04,2025-11-06 00:00:00,0001193125-25-268393,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TUCHMAN MARTIN,0000939713,,true,false,true,P,2000.0,32.25,64500.0,2000.0,I,239762871.70410156,0.0002690157969062089
2025-11-03,2025-11-03 00:00:00,0001193125-25-262328,BPRN,"Princeton Bancorp, Inc.",0001913971,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Barrett Susan,0001483549,,true,false,false,P,1600.0,31.5,50400.0,4542.0,I,239762871.70410156,0.00021020769246624693
