txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-10-20,2025-10-21 00:00:00,0001214659-25-015165,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD MATTHEW J,0001187904,SENIOR VICE PRESIDENT,true,true,false,P,7000.0,14.9612,104728.4,4074353.3592,I,269535616.6558838,0.0003885512471389144
2025-10-20,2025-10-21 00:00:00,0001214659-25-015164,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD INVESTORS L P,0000779335,,false,false,true,P,7000.0,14.9612,104728.4,4074353.3592,D,269535616.6558838,0.0003885512471389144
2025-10-20,2025-10-21 00:00:00,0001214659-25-015163,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD JEFFREY,0001187903,PRESIDENT AND CEO,true,true,false,P,7000.0,14.9612,104728.4,4074353.3592,I,269535616.6558838,0.0003885512471389144
2025-10-17,2025-10-20 00:00:00,0001214659-25-015112,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD JEFFREY,0001187903,PRESIDENT AND CEO,true,true,false,P,3953.0,14.9663,59161.7839,4067353.3592,I,269535616.6558838,0.00021949523641445824
2025-10-17,2025-10-20 00:00:00,0001214659-25-015111,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD MATTHEW J,0001187904,SENIOR VICE PRESIDENT,true,true,false,P,3953.0,14.9663,59161.7839,4067353.3592,I,269535616.6558838,0.00021949523641445824
2025-10-17,2025-10-20 00:00:00,0001214659-25-015110,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD INVESTORS L P,0000779335,,false,false,true,P,3953.0,14.9663,59161.7839,4067353.3592,D,269535616.6558838,0.00021949523641445824
2025-10-16,2025-10-20 00:00:00,0001214659-25-015112,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD JEFFREY,0001187903,PRESIDENT AND CEO,true,true,false,P,8000.0,14.9953,119962.40000000001,4063400.3592,I,269535616.6558838,0.0004450706792978534
2025-10-16,2025-10-20 00:00:00,0001214659-25-015111,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD MATTHEW J,0001187904,SENIOR VICE PRESIDENT,true,true,false,P,8000.0,14.9953,119962.40000000001,4063400.3592,I,269535616.6558838,0.0004450706792978534
2025-10-16,2025-10-20 00:00:00,0001214659-25-015110,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD INVESTORS L P,0000779335,,false,false,true,P,8000.0,14.9953,119962.40000000001,4063400.3592,D,269535616.6558838,0.0004450706792978534
2025-10-13,2025-10-20 00:00:00,0001214659-25-015112,BRT,BRT Apartments Corp.,0000014846,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GOULD JEFFREY,0001187903,PRESIDENT AND CEO,true,true,false,P,7000.0,14.8727,104108.9,4053400.3592,I,269535616.6558838,0.0003862528495924747
