txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-15,2026-05-18 00:00:00,0001505732-26-000076,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,170.0,49.92,8486.4,217884.0,I,409183595.16677856,2.0739834392776768e-05
2026-05-13,2026-05-14 00:00:00,0001026081-26-000020,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,810.0,50.07,40556.7,217714.0,I,409183595.16677856,9.911614365544041e-05
2026-05-13,2026-05-14 00:00:00,0001026081-26-000020,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,488.0,50.09,24443.920000000002,128173.0,I,409183595.16677856,5.973826978580835e-05
2026-05-13,2026-05-14 00:00:00,0001026081-26-000020,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,200.0,50.14,10028.0,140503.0,I,409183595.16677856,2.4507336360619985e-05
2026-05-13,2026-05-14 00:00:00,0001026081-26-000020,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,179.0,50.16,8978.64,134912.0,I,409183595.16677856,2.194281517161119e-05
2026-05-13,2026-05-14 00:00:00,0001026081-26-000020,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,149.0,50.18,7476.82,176570.0,I,409183595.16677856,1.8272531177484116e-05
2026-05-13,2026-05-14 00:00:00,0001026081-26-000020,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,104.0,50.24,5224.96,24521.0,I,409183595.16677856,1.276923137123903e-05
2026-03-13,2026-03-16 00:00:00,0001505732-26-000058,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,4085.0,46.95,191790.75,216904.0,I,409183595.16677856,0.00046871563832325263
2026-03-13,2026-03-16 00:00:00,0001505732-26-000058,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,2460.0,46.96,115521.6,127685.0,I,409183595.16677856,0.00028232216873922994
2026-03-13,2026-03-16 00:00:00,0001505732-26-000058,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,1259.0,46.96,59122.64,140303.0,I,409183595.16677856,0.00014448927253767906
