txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-17,2026-02-20 00:00:00,0001193125-26-061364,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,275.6036,130.2974,35910.43251064,39501.7645,D,148688173070.1738,2.415150564375552e-07
2026-02-17,2026-02-20 00:00:00,0001193125-26-061364,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,149.384,131.1099,19585.7213016,39226.1609,D,148688173070.1738,1.31723464598334e-07
2026-02-17,2026-02-20 00:00:00,0001193125-26-061364,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,99.589,131.1099,13057.103831100001,8862.783,I,148688173070.1738,8.781534913969024e-08
2025-11-10,2025-11-13 00:00:00,0001193125-25-280537,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,206.9987,148.92,30826.246403999998,39076.7769,D,148688173070.1738,2.073214416956449e-07
2025-11-10,2025-11-13 00:00:00,0001193125-25-280537,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,117.193,143.4,16805.4762,38869.7782,D,148688173070.1738,1.1302496932334093e-07
2025-11-10,2025-11-13 00:00:00,0001193125-25-280537,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,78.129,143.4,11203.698600000002,8763.194,I,148688173070.1738,7.5350301027052e-08
2025-11-04,2025-11-05 00:00:00,0001193125-25-267167,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BREYER JAMES,0001194696,,true,false,false,P,10200.0,144.21,1470942.0,68906.0,D,148688173070.1738,9.892797588586854e-06
2025-11-04,2025-11-05 00:00:00,0001193125-25-267167,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BREYER JAMES,0001194696,,true,false,false,P,3700.0,142.89,528693.0,58706.0,D,148688173070.1738,3.5557165649650014e-06
2025-10-29,2025-10-31 00:00:00,0001193125-25-261005,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BREYER JAMES,0001194696,,true,false,false,P,13170.0,151.23,1991699.0999999999,55006.0,D,148688173070.1738,1.3395141381285329e-05
2025-08-11,2025-08-13 00:00:00,0000950170-25-108105,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,143.4212,170.61,24469.090932000003,38752.5852,D,148688173070.1738,1.6456649124642716e-07
2025-08-11,2025-08-13 00:00:00,0000950170-25-108105,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,78.587,169.72,13337.78564,38609.164,D,148688173070.1738,8.970307028861801e-08
2025-08-11,2025-08-13 00:00:00,0000950170-25-108105,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,52.391,169.72,8891.800519999999,8685.065,I,148688173070.1738,5.980166637600349e-08
2025-05-05,2025-05-06 00:00:00,0000950170-25-064641,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,150.198,135.86,20405.90028,36979.357,D,148688173070.1738,1.372395655864934e-07
2025-05-05,2025-05-06 00:00:00,0000950170-25-064641,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,87.22,137.14,11961.350799999998,37066.577,D,148688173070.1738,8.044587913764201e-08
2025-05-05,2025-05-06 00:00:00,0000950170-25-064641,BX,Blackstone Inc.,0001393818,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Porat Ruth,0001479258,,true,false,false,P,58.147,137.14,7974.279579999999,8632.674,I,148688173070.1738,5.3630893536075097e-08
