txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-10,2026-06-11 00:00:00,0001104659-26-072556,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.64,26400.0,1553872.0,I,156946653.07177758,0.0001682100222164425
2026-06-09,2026-06-11 00:00:00,0001104659-26-072556,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.72,27200.000000000004,1543872.0,I,156946653.07177758,0.00017330729561694077
2026-06-08,2026-06-09 00:00:00,0001104659-26-071566,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.77,27700.0,1533872.0,I,156946653.07177758,0.00017649309149225218
2026-06-05,2026-06-09 00:00:00,0001104659-26-071566,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.65,26500.0,1523872.0,I,156946653.07177758,0.00016884718139150478
2026-06-04,2026-06-05 00:00:00,0001104659-26-070696,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.67,26700.0,1513872.0,I,156946653.07177758,0.00017012149974162934
2026-06-03,2026-06-05 00:00:00,0001104659-26-070696,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.63,26300.0,1503872.0,I,156946653.07177758,0.00016757286304138022
2026-06-02,2026-06-03 00:00:00,0001104659-26-069747,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.69,26900.0,1493872.0,I,156946653.07177758,0.0001713958180917539
2026-06-01,2026-06-03 00:00:00,0001104659-26-069760,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Wu Junhua,0001964084,Chief Strategy Officer,true,true,false,P,20000.0,2.7,54000.0,188270.0,D,156946653.07177758,0.00034406595453363237
2026-06-01,2026-06-03 00:00:00,0001104659-26-069747,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.73,27300.0,1483872.0,I,156946653.07177758,0.00017394445479200303
2026-05-29,2026-06-01 00:00:00,0001104659-26-068579,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.57,25700.0,1473872.0,I,156946653.07177758,0.00016374990799100653
2026-05-28,2026-06-01 00:00:00,0001104659-26-068584,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Wu Junhua,0001964084,Chief Strategy Officer,true,true,false,P,19500.0,2.56,49920.0,168270.0,D,156946653.07177758,0.00031806986019109124
2026-05-28,2026-06-01 00:00:00,0001104659-26-068579,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.56,25600.0,1463872.0,I,156946653.07177758,0.00016311274881594424
2026-05-27,2026-05-28 00:00:00,0001104659-26-067210,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.58,25800.0,1453872.0,I,156946653.07177758,0.0001643870671660688
2026-05-26,2026-05-28 00:00:00,0001104659-26-067208,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Wu Junhua,0001964084,Chief Strategy Officer,true,true,false,P,10000.0,2.55,25500.0,148770.0,D,156946653.07177758,0.00016247558964088194
2026-05-26,2026-05-28 00:00:00,0001104659-26-067210,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,10000.0,2.55,25500.0,1443872.0,I,156946653.07177758,0.00016247558964088194
2026-04-17,2026-04-21 00:00:00,0001104659-26-045680,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,16000.0,3.14,50240.0,1433872.0,I,156946653.07177758,0.0003201087695512906
2026-04-16,2026-04-17 00:00:00,0001104659-26-044619,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,17500.0,2.84,49700.0,1417872.0,I,156946653.07177758,0.00031666811000595425
2026-04-15,2026-04-17 00:00:00,0001104659-26-044619,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,11000.0,2.71,29810.0,1400372.0,I,156946653.07177758,0.00018993715008606632
2026-04-14,2026-04-15 00:00:00,0001104659-26-043459,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,11500.0,2.63,30245.0,1389372.0,I,156946653.07177758,0.00019270879249758723
2026-04-13,2026-04-15 00:00:00,0001104659-26-043459,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,12100.0,2.48,30008.0,1377872.0,I,156946653.07177758,0.00019119872525268964
2026-04-13,2026-04-14 00:00:00,0001104659-26-042870,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Wu Junhua,0001964084,Chief Strategy Officer,true,true,false,P,11084.0,2.49,27599.160000000003,138770.0,D,156946653.07177758,0.00017585058018011938
2026-04-10,2026-04-13 00:00:00,0001104659-26-042230,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,12400.0,2.43,30132.000000000004,1365772.0,I,156946653.07177758,0.00019198880262976688
2026-04-10,2026-04-14 00:00:00,0001104659-26-042870,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Wu Junhua,0001964084,Chief Strategy Officer,true,true,false,P,5372.0,2.4,12892.8,127686.0,D,156946653.07177758,8.214765812242991e-05
2026-04-09,2026-04-13 00:00:00,0001104659-26-042230,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,11650.0,2.58,30057.0,1353372.0,I,156946653.07177758,0.00019151093324847016
2026-04-08,2026-04-10 00:00:00,0001104659-26-041735,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Wu Junhua,0001964084,Chief Strategy Officer,true,true,false,P,30886.0,2.54,78450.44,122314.0,D,156946653.07177758,0.0004998541763367307
2026-04-08,2026-04-09 00:00:00,0001104659-26-041187,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,11600.0,2.58,29928.0,1341722.0,I,156946653.07177758,0.0001906889979126398
2026-04-07,2026-04-09 00:00:00,0001104659-26-041187,BZUN,Baozun Inc.,0001625414,NASDAQ,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Qiu Wenbin,0001975717,Chief Executive Officer,true,true,false,P,12000.0,2.51,30119.999999999996,1330122.0,I,156946653.07177758,0.00019191234352875937
