txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-09,2026-09-10 00:00:00,0001539497-26-002474,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,110710.0,3.3054,365940.83400000003,379014.0,I,54289420.06500387,0.0067405552235009665
2026-09-08,2026-09-10 00:00:00,0001539497-26-002474,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,6842.0,3.2432,22189.9744,268304.0,I,54289420.06500387,0.0004087347842992365
2026-09-02,2026-09-02 00:00:00,0001539497-26-002446,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,5387.0,3.2462,17487.2794,261462.0,I,54289420.06500387,0.00032211210543530333
2026-09-01,2026-09-02 00:00:00,0001539497-26-002446,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,934.0,3.1971,2986.0914,256075.0,I,54289420.06500387,5.500319208465626e-05
2026-08-31,2026-09-02 00:00:00,0001539497-26-002446,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,1742.0,3.2494,5660.4548,255141.0,I,54289420.06500387,0.0001042644182461778
2026-08-20,2026-08-20 00:00:00,0001539497-26-002324,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,2392.0,3.19,7630.48,253399.0,I,54289420.06500387,0.0001405518790007995
2026-08-19,2026-08-20 00:00:00,0001539497-26-002324,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,9260.0,3.142,29094.92,251007.0,I,54289420.06500387,0.0005359224682297759
2026-08-18,2026-08-20 00:00:00,0001539497-26-002324,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,86983.0,3.1485,273865.9755,241747.0,I,54289420.06500387,0.005044555185376532
2026-08-14,2026-08-14 00:00:00,0001539497-26-002267,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,3945.0,3.2897,12977.8665,154764.0,I,54289420.06500387,0.00023904964327231434
2026-08-13,2026-08-14 00:00:00,0001539497-26-002267,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,81647.0,3.2125,262290.9875,150819.0,I,54289420.06500387,0.004831346276787333
2026-08-12,2026-08-14 00:00:00,0001539497-26-002267,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,69172.0,3.0869,213527.0468,69172.0,I,54289420.06500387,0.003933124475161674
2025-12-31,2025-12-31 00:00:00,0001437749-25-039097,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,2793.0,3.7907,10587.4251,82203.0,D,54289420.06500387,0.00019501820220814778
2025-12-30,2025-12-31 00:00:00,0001437749-25-039097,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,19558.0,3.7,72364.6,79410.0,D,54289420.06500387,0.0013329411128973872
2025-12-29,2025-12-31 00:00:00,0001437749-25-039097,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,22599.0,3.7057,83745.1143,57099.0,I,54289420.06500387,0.0015425678557576617
2025-12-29,2025-12-31 00:00:00,0001437749-25-039097,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,10895.0,3.7057,40373.601500000004,26895.0,I,54289420.06500387,0.0007436734717677652
2025-12-29,2025-12-31 00:00:00,0001437749-25-039097,CLPR,Clipper Realty Inc.,0001649096,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Levinson Sam,0001588901,,true,false,true,P,2418.0,3.7057,8960.3826,59852.0,D,54289420.06500387,0.00016504841255020252
