txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-21,2026-05-26 00:00:00,0001104659-26-065999,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,28560.0,26.97,770263.2,26468400.0,I,158773337.28328705,0.004851338475210599
2026-05-20,2026-05-26 00:00:00,0001104659-26-065999,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,45600.0,27.13,1237128.0,26439840.0,I,158773337.28328705,0.007791786840083154
2026-05-19,2026-05-26 00:00:00,0001104659-26-065999,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,11340.0,26.87,304705.8,26394240.0,I,158773337.28328705,0.0019191244903817627
2026-05-18,2026-05-26 00:00:00,0001104659-26-065999,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,22440.0,28.0,628320.0,26382900.0,I,158773337.28328705,0.003957339505177352
2026-05-15,2026-05-26 00:00:00,0001104659-26-065999,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,47280.0,26.34,1245355.2,26360460.0,I,158773337.28328705,0.007843604104497776
2026-05-14,2026-05-19 00:00:00,0001104659-26-063515,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,30000.0,25.22,756600.0,26313180.0,I,158773337.28328705,0.00476528372424431
2026-05-13,2026-05-19 00:00:00,0001104659-26-063515,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,19620.0,25.32,496778.4,26283180.0,I,158773337.28328705,0.003128852794179394
2026-05-12,2026-05-19 00:00:00,0001104659-26-063515,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,28560.0,25.5,728280.0,26263560.0,I,158773337.28328705,0.004586916244637386
2026-05-11,2026-05-19 00:00:00,0001104659-26-063515,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,6000.0,26.42,158520.0,26235000.0,I,158773337.28328705,0.000998404409155707
2026-05-08,2026-05-13 00:00:00,0001104659-26-059790,COE,51Talk Online Education Group,0001659494,AMEX,8200,Services-Educational Services,Services,Huang Jack Jiajia,0002029760,Chief Executive Officer,true,true,true,P,73080.0,23.49,1716649.2,26229000.0,I,158773337.28328705,0.010811948840863091
