txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-12-22,2025-12-23 00:00:00,0001337319-25-000002,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,Lucchese Cynthia L,0001337319,,true,false,false,P,1784.0,84.06,149963.04,9445.0,D,12569269161.894867,1.1930927571718298e-05
2025-12-18,2025-12-19 00:00:00,0001755794-25-000003,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,Rivas Maria,0001755794,,true,false,false,P,1000.0,82.13,82130.0,11141.0,I,12569269161.894867,6.534190567657362e-06
2025-12-17,2025-12-17 00:00:00,0001352090-25-000012,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,Kurzius Lawrence Erik,0001352090,,true,false,false,P,2000.0,82.5,165000.0,7777.0,D,12569269161.894867,1.3127254884493667e-05
2025-12-16,2025-12-16 00:00:00,0001357705-25-000003,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,White Albert G III,0001357705,President & CEO,true,true,false,P,10000.0,80.8,808000.0,236151.0,D,12569269161.894867,6.428376937376292e-05
2025-12-16,2025-12-16 00:00:00,0001745369-25-000005,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,Sheffield Holly R,0001745369,"President, CSI",false,true,false,P,1230.0,80.75,99322.5,39052.0,D,12569269161.894867,7.902010747061346e-06
2025-09-29,2025-09-29 00:00:00,0001352090-25-000005,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,Kurzius Lawrence Erik,0001352090,,true,false,false,P,2000.0,68.39,136780.0,5777.0,D,12569269161.894867,1.0882096503642688e-05
2025-09-05,2025-09-05 00:00:00,0001562180-25-006125,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,White Albert G III,0001357705,President & CEO,true,true,false,P,10000.0,68.39,683900.0,226151.0,D,12569269161.894867,5.4410482518213444e-05
2025-09-05,2025-09-05 00:00:00,0001562180-25-006118,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,Warner Gerard H III,0001908671,"President, CooperVision, Inc.",false,true,false,P,1450.0,69.23,100383.5,18319.0,D,12569269161.894867,7.986422973924667e-06
2025-09-02,2025-09-02 00:00:00,0001562180-25-006059,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,McBride Daniel G,0001368867,EVP & Chief Operating Officer,false,true,false,P,3000.0,65.04,195120.00000000003,63120.0,D,12569269161.894867,1.5523575594317604e-05
2025-09-02,2025-09-02 00:00:00,0001562180-25-006058,COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,3851,Ophthalmic Goods,Manufacturing,Andrews Brian G,0001565801,"EVP, CFO & Treasurer",false,true,false,P,1525.0,65.68,100162.00000000001,22191.0,I,12569269161.894867,7.968800628731241e-06
