txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-22,2026-09-24 00:00:00,0001193125-26-401049,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,296668.0,34.3091,10178412.0788,124116681.0,D,,
2026-09-22,2026-09-24 00:00:00,0001193125-26-401049,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,200.0,34.92,6984.0,124116881.0,D,,
2026-09-21,2026-09-23 00:00:00,0001193125-26-399477,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,212828.0,35.0797,7465942.391600001,123820013.0,D,,
2026-09-18,2026-09-22 00:00:00,0001193125-26-397991,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,131333.0,34.8847,4581512.3051,123607185.0,D,,
2026-09-17,2026-09-21 00:00:00,0001193125-26-396726,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,174760.0,35.1953,6150730.6280000005,123475852.0,D,,
2026-09-16,2026-09-18 00:00:00,0001193125-26-395554,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,320785.0,35.0171,11232960.4235,123301092.0,D,,
2026-09-15,2026-09-17 00:00:00,0001193125-26-394389,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,210903.0,35.0199,7385801.9697,122980307.0,D,,
2026-09-14,2026-09-16 00:00:00,0001193125-26-393133,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,295967.0,34.8642,10318652.6814,122769404.0,D,,
2026-09-11,2026-09-15 00:00:00,0001193125-26-391947,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,171144.0,34.6095,5923208.267999999,122473437.0,D,,
2026-09-10,2026-09-14 00:00:00,0001193125-26-390651,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,176300.0,34.0098,5995927.739999999,122302293.0,D,,
2026-09-09,2026-09-11 00:00:00,0001193125-26-389292,CRBD,"Corebridge Financial, Inc.",0001889539,NYSE,6311,Life Insurance,"Finance, Insurance, Real Estate",NIPPON LIFE INSURANCE CO,0000905591,,false,false,true,P,136466.0,33.7787,4609644.0742,122125993.0,D,,
