txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-25,2026-06-26 00:00:00,0001104659-26-078339,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,3727.0,8.88,33095.76,924960.0,I,53639997.482299805,0.0006169977918235545
2026-06-24,2026-06-26 00:00:00,0001104659-26-078339,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,4047.0,8.66,35047.020000000004,921233.0,I,53639997.482299805,0.0006533747510253867
2026-06-23,2026-06-24 00:00:00,0001104659-26-077432,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,34596.0,8.68,300293.27999999997,917186.0,I,53639997.482299805,0.005598308987599993
2026-06-22,2026-06-24 00:00:00,0001104659-26-077432,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,20968.0,8.65,181373.2,882590.0,I,53639997.482299805,0.003381305154979729
2026-06-02,2026-06-04 00:00:00,0001104659-26-070497,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,5748.0,10.52,60468.96,861622.0,I,53639997.482299805,0.001127311014881267
2026-06-01,2026-06-02 00:00:00,0001104659-26-069448,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,4642.0,10.43,48416.06,855874.0,I,53639997.482299805,0.0009026111534769626
2026-05-29,2026-06-02 00:00:00,0001104659-26-069448,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,9297.0,10.37,96409.89,851232.0,I,53639997.482299805,0.0017973507555031757
2026-05-26,2026-05-28 00:00:00,0001104659-26-067692,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,23386.0,10.88,254439.68000000002,841935.0,I,53639997.482299805,0.004743469275589738
2026-05-20,2026-05-22 00:00:00,0001104659-26-065797,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,18902.0,10.87,205464.74,818549.0,I,53639997.482299805,0.003830439031392563
2026-05-11,2026-05-13 00:00:00,0001104659-26-060369,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,8542.0,10.61,90630.62,799647.0,I,53639997.482299805,0.0016896089532798058
2026-04-20,2026-04-21 00:00:00,0001104659-26-046175,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,4032.0,10.38,41852.16,791105.0,I,53639997.482299805,0.0007802416473604503
2026-04-17,2026-04-21 00:00:00,0001104659-26-046175,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,28861.0,10.44,301308.83999999997,787073.0,I,53639997.482299805,0.005617241874394685
2026-04-15,2026-04-16 00:00:00,0001104659-26-044465,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,3747.0,10.48,39268.560000000005,758212.0,I,53639997.482299805,0.0007320760970012703
2026-04-14,2026-04-16 00:00:00,0001104659-26-044465,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,21678.0,10.42,225884.76,754465.0,I,53639997.482299805,0.004211125477299617
2026-04-10,2026-04-14 00:00:00,0001104659-26-043266,CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",OLIVER ERIC L,0001168602,,false,false,true,P,6844.0,10.42,71314.48,732787.0,I,53639997.482299805,0.0013295019266832077
