txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-10,2026-06-10 00:00:00,0001214659-26-007312,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,100.0,8.32,832.0,1418900.0,D,86517167.26684189,9.616588548650597e-06
2026-06-10,2026-06-10 00:00:00,0001214659-26-007312,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,71.0,8.295,588.945,1418800.0,D,86517167.26684189,6.807261710078157e-06
2026-06-09,2026-06-10 00:00:00,0001214659-26-007312,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,700.0,8.69,6083.0,1418530.0,D,86517167.26684189,7.03097453623096e-05
2026-06-09,2026-06-10 00:00:00,0001214659-26-007312,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,199.0,8.049,1601.751,1418729.0,D,86517167.26684189,1.851367827450678e-05
2026-06-08,2026-06-10 00:00:00,0001214659-26-007312,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,1000.0,8.75,8750.0,1416530.0,D,86517167.26684189,0.00010113599735660183
2026-06-08,2026-06-10 00:00:00,0001214659-26-007312,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,800.0,8.4025,6722.0,1417830.0,D,86517167.26684189,7.769556276926601e-05
2026-06-08,2026-06-10 00:00:00,0001214659-26-007312,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,500.0,8.6,4300.0,1417030.0,D,86517167.26684189,4.970111870095862e-05
2026-05-15,2026-05-18 00:00:00,0001282498-26-000016,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,FOLGER ANTHONY,0001566737,,true,false,false,P,2500.0,9.358,23395.0,12500.0,D,86517167.26684189,0.00027040876093230857
2026-05-13,2026-05-13 00:00:00,0001214659-26-006063,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,500.0,9.26,4630.0,1415530.0,D,86517167.26684189,5.3515390601264744e-05
2026-05-13,2026-05-13 00:00:00,0001214659-26-006063,CSPI,CSP INC /MA/,0000356037,NASDAQ,7373,Services-Computer Integrated Systems Design,Services,NERGES JOSEPH R,0000925974,,false,false,true,P,400.0,9.19,3676.0,1415030.0,D,86517167.26684189,4.2488677289470666e-05
