txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-19,2026-05-19 00:00:00,0001982656-26-000004,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Prince John Michael,0001982656,,true,false,false,P,10000.0,16.0,160000.0,31662.0,D,276174194.8064308,0.0005793444970922908
2026-05-18,2026-05-19 00:00:00,0001841409-26-000007,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Dalton Travis,0001841409,"Pres., CEO & Executive Chair",true,true,false,P,11200.0,11.88,133056.0,45872.0,I,276174194.8064308,0.000481782883781949
2026-05-18,2026-05-19 00:00:00,0001841409-26-000007,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Dalton Travis,0001841409,"Pres., CEO & Executive Chair",true,true,false,P,9720.0,12.92,125582.4,34672.0,I,276174194.8064308,0.0004547217023227681
2026-05-18,2026-05-19 00:00:00,0001828369-26-000014,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Kim Michael,0001828369,"EVP, Chief Digital Officer",false,true,false,P,3000.0,16.65,49949.99999999999,185878.0,D,276174194.8064308,0.0001808641101859995
2026-03-16,2026-03-16 00:00:00,0002032799-26-000004,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Garis Douglas Michael,0002032799,EVP&CFO,false,true,false,P,1300.0,17.69,22997.0,206152.0,D,276174194.8064308,8.326990874769632e-05
2026-03-12,2026-03-16 00:00:00,0001828369-26-000012,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Kim Michael,0001828369,"EVP, Chief Digital Officer",false,true,false,P,15000.0,16.5,247500.0,182878.0,D,276174194.8064308,0.0008961735189396372
2026-03-02,2026-03-02 00:00:00,0002036762-26-000005,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,O'Neil Tara,0002036762,"SVP, General Counsel",false,true,false,P,750.0,12.99,9742.5,27199.0,D,276174194.8064308,3.5276648518260265e-05
2026-02-27,2026-03-02 00:00:00,0001828369-26-000005,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Kim Michael,0001828369,"EVP, Chief Digital Officer",false,true,false,P,30000.0,14.2985,428955.0,137973.0,D,276174194.8064308,0.0015532044921888974
2026-02-27,2026-03-02 00:00:00,0001841409-26-000003,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Dalton Travis,0001841409,"Pres., CEO & Executive Chair",true,true,false,P,15380.0,12.9992,199927.696,24952.0,I,276174194.8064308,0.0007239188155871274
2025-11-20,2025-11-20 00:00:00,0001841409-25-000004,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Dalton Travis,0001841409,"Pres., CEO & Executive Chair",true,true,false,P,5290.0,47.2291,249841.939,9572.0,I,276174194.8064308,0.0009046534531407363
2025-11-17,2025-11-18 00:00:00,0001828369-25-000003,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Kim Michael,0001828369,"EVP, Chief Digital Officer",false,true,false,P,9600.0,38.2499,367199.04,105529.0,D,276174194.8064308,0.0013295921447598247
2025-11-17,2025-11-19 00:00:00,0002033015-25-000003,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Mintz William B.,0002033015,"SVP,  Chief Strategy Officer",false,true,false,P,916.0,38.0,34808.0,65325.0,D,276174194.8064308,0.00012603639534242785
2025-11-17,2025-11-18 00:00:00,0002036762-25-000006,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,O'Neil Tara,0002036762,"SVP, General Counsel",false,true,false,P,625.0,38.8364,24272.75,25028.0,D,276174194.8064308,8.788927588623063e-05
2025-08-11,2025-08-12 00:00:00,0001793229-25-000142,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Dalton Travis,0001841409,"Pres., CEO & Executive Chair",true,true,false,P,3982.0,58.3019,232158.16580000002,4282.0,I,276174194.8064308,0.0008406222238204355
2025-08-08,2025-08-12 00:00:00,0001793229-25-000142,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Dalton Travis,0001841409,"Pres., CEO & Executive Chair",true,true,false,P,300.0,54.2083,16262.49,300.0,I,276174194.8064308,5.8884900565740044e-05
2025-08-07,2025-08-11 00:00:00,0001793229-25-000140,CTEV,Claritev Corp,0001793229,NYSE,7389,"Services-Business Services, Nec",Services,Hogge Jerome,0002014439,"EVP, Chief Operating Officer",false,true,false,P,5621.0,53.5084,300770.71640000003,90023.0,D,276174194.8064308,0.0010890616214552877
