txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-02,2026-04-06 00:00:00,0001960181-26-000001,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,Bruno Thomas,0001960181,Chief Commercial Officer,false,true,false,P,5000.0,2.78,13899.999999999998,90000.0,D,41154048.0,0.0003377553527662698
2026-04-02,2026-04-06 00:00:00,0001960181-26-000001,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,Bruno Thomas,0001960181,Chief Commercial Officer,false,true,false,P,5000.0,2.75,13750.0,85000.0,D,41154048.0,0.00033411051082994316
2026-03-30,2026-03-31 00:00:00,0001294280-26-000003,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,CULP ROBERT GEORGE IV,0001294280,President & CEO,true,true,false,P,3179.0,2.9,9219.1,126317.0,D,41154048.0,0.0002240144153012603
2026-03-26,2026-03-27 00:00:00,0001886608-26-000001,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,Gatling Kimberly Bullock,0001886608,,true,false,false,P,1812.0,2.97,5381.64,49402.0,D,41154048.0,0.0001307681810547531
2026-03-18,2026-03-20 00:00:00,0002032661-26-000001,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,Hunsberger Mary Elizabeth,0002032661,Chief Operating Officer,false,true,false,P,3721.0,3.06,11386.26,18721.0,D,41154048.0,0.0002766741196394581
2026-03-18,2026-03-20 00:00:00,0001294280-26-000002,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,CULP ROBERT GEORGE IV,0001294280,President & CEO,true,true,false,P,2941.0,3.13,9205.33,123138.0,D,41154048.0,0.00022367981881150548
2026-03-18,2026-03-20 00:00:00,0002032661-26-000001,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,Hunsberger Mary Elizabeth,0002032661,Chief Operating Officer,false,true,false,P,1279.0,3.13,4003.27,20000.0,D,41154048.0,9.727524252292265e-05
2026-03-17,2026-03-18 00:00:00,0001294280-26-000001,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,CULP ROBERT GEORGE IV,0001294280,President & CEO,true,true,false,P,4356.0,3.18,13852.08,120197.0,D,41154048.0,0.00033659094726234463
2026-03-16,2026-03-18 00:00:00,0001294280-26-000001,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,CULP ROBERT GEORGE IV,0001294280,President & CEO,true,true,false,P,4383.0,3.15,13806.449999999999,115841.0,D,41154048.0,0.00033548218634531403
2025-09-22,2025-09-23 00:00:00,0001294280-25-000002,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,CULP ROBERT GEORGE IV,0001294280,President & CEO,true,true,false,P,7428.0,4.42,32831.76,111458.0,D,41154048.0,0.0007977771712760796
2025-09-22,2025-09-23 00:00:00,0001960181-25-000002,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,Bruno Thomas,0001960181,Chief Commercial Officer,false,true,false,P,5000.0,4.35,21750.0,79628.0,D,41154048.0,0.0005285020807673646
2025-09-22,2025-09-23 00:00:00,0001886608-25-000002,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,Gatling Kimberly Bullock,0001886608,,true,false,false,P,2347.0,4.2995,10090.9265,38393.0,D,41154048.0,0.0002451988805572662
2025-09-22,2025-09-23 00:00:00,0001960181-25-000002,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,Bruno Thomas,0001960181,Chief Commercial Officer,false,true,false,P,372.0,4.36,1621.92,80000.0,D,41154048.0,3.941094688911283e-05
2025-07-01,2025-07-03 00:00:00,0001673829-25-000007,CULP,CULP INC,0000723603,NASDAQ,2211,"Broadwoven Fabric Mills, Cotton",Manufacturing,CULP ROBERT GEORGE IV,0001294280,President & CEO,true,true,false,P,12000.0,4.15,49800.00000000001,104030.0,D,41154048.0,0.0012100875228604488
