txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-01,2026-06-01 00:00:00,0001628280-26-039397,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",CAGLE DAWN M,0001893153,EXECUTIVE VICE PRESIDENT,false,true,false,P,166.0,20.907,3470.562,13444.0,D,731809517.1884193,4.742439006988799e-06
2026-06-01,2026-06-01 00:00:00,0001628280-26-039395,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LIVINGSTON SHANNON R,0001966223,EXECUTIVE VICE PRESIDENT,false,true,false,P,94.0,20.907,1965.258,19985.0,D,731809517.1884193,2.685477509981609e-06
2026-05-22,2026-05-26 00:00:00,0001628280-26-038016,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STOVESAND KIRK,0001234321,,true,false,false,P,257.0,23.9,6142.299999999999,82589.0,D,731809517.1884193,8.393304344549182e-06
2026-05-05,2026-05-06 00:00:00,0001628280-26-031359,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SILVA DOROTHEA D,0001796029,,true,false,false,P,150.0,23.57,3535.5,12309.7443,D,731809517.1884193,4.831175212893156e-06
2026-05-04,2026-05-06 00:00:00,0001628280-26-031359,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SILVA DOROTHEA D,0001796029,,true,false,false,P,15.0,23.78,356.70000000000005,12159.7443,D,731809517.1884193,4.874219200789108e-07
2026-02-27,2026-03-04 00:00:00,0001628280-26-014491,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kim James J,0001729941,CEO,true,true,false,P,1089.0,20.65,22487.85,58849.0,D,731809517.1884193,3.072910295891935e-05
2026-02-27,2026-03-04 00:00:00,0001628280-26-014493,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",CAGLE DAWN M,0001893153,EXECUTIVE VICE PRESIDENT,false,true,false,P,351.0,20.65,7248.15,13724.0,D,731809517.1884193,9.904421614858303e-06
2026-02-27,2026-03-04 00:00:00,0001628280-26-014497,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Plourd Martin E,0001334871,PRESIDENT,true,true,false,P,282.0,20.65,5823.299999999999,112536.0,D,731809517.1884193,7.95739856236479e-06
2026-02-27,2026-03-04 00:00:00,0001628280-26-014495,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LIVINGSTON SHANNON R,0001966223,EXECUTIVE VICE PRESIDENT,false,true,false,P,266.0,20.65,5492.9,21648.0,D,731809517.1884193,7.505914955989483e-06
2026-02-27,2026-03-04 00:00:00,0001628280-26-014489,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",MARTIN JEFFREY MICHAEL,0001924479,EXECUTIVE VICE PRESIDENT,false,true,false,P,206.0,20.65,4253.9,24616.8163,D,731809517.1884193,5.812851432082081e-06
2026-02-20,2026-02-20 00:00:00,0001628280-26-010330,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STOVESAND KIRK,0001234321,,true,false,false,P,376.0,24.5,9212.0,78612.0,D,731809517.1884193,1.2587975126904755e-05
2026-01-28,2026-01-30 00:00:00,0001628280-26-004354,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LOKEY JAMES W,0001201185,,true,false,false,P,500.0,23.2898,11644.9,15174.672,D,731809517.1884193,1.5912474115859006e-05
2025-11-28,2025-12-02 00:00:00,0001628280-25-054633,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Plourd Martin E,0001334871,PRESIDENT,true,true,false,P,316.0,19.188,6063.407999999999,112754.0,D,731809517.1884193,8.285500335244821e-06
2025-11-28,2025-12-02 00:00:00,0001628280-25-054639,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",CAGLE DAWN M,0001893153,EXECUTIVE VICE PRESIDENT,false,true,false,P,159.0,19.188,3050.892,13373.0,D,731809517.1884193,4.168970105392173e-06
2025-11-28,2025-12-02 00:00:00,0001628280-25-054637,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LIVINGSTON SHANNON R,0001966223,EXECUTIVE VICE PRESIDENT,false,true,false,P,84.0,19.188,1611.792,21382.0,D,731809517.1884193,2.2024747726600157e-06
2025-11-28,2025-12-02 00:00:00,0001628280-25-054635,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",MARTIN JEFFREY MICHAEL,0001924479,EXECUTIVE VICE PRESIDENT,false,true,false,P,75.0,19.188,1439.1,24410.8163,D,731809517.1884193,1.9664953327321572e-06
2025-11-14,2025-11-18 00:00:00,0001628280-25-052839,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STOVESAND KIRK,0001234321,,true,false,false,P,402.0,21.37,8590.74,78236.0,D,731809517.1884193,1.1739038367532105e-05
2025-08-29,2025-09-03 00:00:00,0001628280-25-041536,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Plourd Martin E,0001334871,PRESIDENT,true,true,false,P,441.0,16.02,7064.82,92687.0,D,731809517.1884193,9.653905605303869e-06
2025-08-29,2025-09-16 00:00:00,0001893153-25-000003,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",CAGLE DAWN M,0001893153,EXECUTIVE VICE PRESIDENT,false,true,false,P,222.0,16.02,3556.44,13214.0,D,731809517.1884193,4.859789216275417e-06
2025-08-29,2025-09-03 00:00:00,0001628280-25-041540,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Avrett Shannon R,0001966223,EXECUTIVE VICE PRESIDENT,false,true,false,P,118.0,16.02,1890.36,21298.0,D,731809517.1884193,2.583131205047294e-06
2025-08-29,2025-09-03 00:00:00,0001924479-25-000003,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",MARTIN JEFFREY MICHAEL,0001924479,EXECUTIVE VICE PRESIDENT,false,true,false,P,104.0,16.02,1666.08,24335.8163,D,731809517.1884193,2.2766580112281233e-06
2025-08-29,2025-09-03 00:00:00,0001796029-25-000003,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SILVA DOROTHEA D,0001796029,,true,false,false,P,17.0,21.29,361.93,12144.7443,D,731809517.1884193,4.945685885454448e-07
2025-08-15,2025-08-15 00:00:00,0001628280-25-040587,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STOVESAND KIRK,0001234321,,true,false,false,P,421.0,20.3,8546.300000000001,75234.0,D,731809517.1884193,1.167831218270366e-05
2025-08-15,2025-08-21 00:00:00,0001628280-25-040981,CWBC,Community West Bancshares,0001127371,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LOKEY JAMES W,0001201185,,true,false,false,P,64.825,20.2999,1315.9410175,14674.672,D,731809517.1884193,1.798201562827153e-06
