txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-13,2026-05-13 00:00:00,0001667312-26-000004,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Lehman Terry L,0001667312,,true,false,false,P,1000.0,20.8281,20828.1,30317.0,D,371769159.5,5.60242813793703e-05
2026-05-08,2026-05-11 00:00:00,0001667211-26-000014,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pellegrino Frank G,0001667211,,true,false,false,P,237.0,21.7452,5153.6124,49859.0,D,371769159.5,1.3862398933066959e-05
2026-05-08,2026-05-11 00:00:00,0001870473-26-000016,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Shattuck Katherine W,0001870473,,true,false,false,P,10.0,21.7452,217.452,10449.0,D,371769159.5,5.849113473867915e-07
2026-04-06,2026-04-07 00:00:00,0001667211-26-000010,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pellegrino Frank G,0001667211,,true,false,false,P,180.0,22.5451,4058.1180000000004,48542.0,D,371769159.5,1.0915692967802511e-05
2026-04-06,2026-04-07 00:00:00,0001870473-26-000012,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Shattuck Katherine W,0001870473,,true,false,false,P,20.0,22.5451,450.90200000000004,9359.0,D,371769159.5,1.2128547742002792e-06
2026-03-06,2026-03-09 00:00:00,0001667211-26-000008,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pellegrino Frank G,0001667211,,true,false,false,P,185.0,21.955,4061.6749999999997,48362.0,D,371769159.5,1.0925260732930698e-05
2026-03-06,2026-03-09 00:00:00,0001870473-26-000010,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Shattuck Katherine W,0001870473,,true,false,false,P,21.0,21.955,461.05499999999995,9339.0,D,371769159.5,1.2401647318461873e-06
2026-02-10,2026-02-11 00:00:00,0001667211-26-000004,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pellegrino Frank G,0001667211,,true,false,false,P,175.0,23.22,4063.5,47629.0,D,371769159.5,1.093016969311033e-05
2026-02-10,2026-02-11 00:00:00,0001870473-26-000006,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Shattuck Katherine W,0001870473,,true,false,false,P,16.0,23.22,371.52,9224.0,D,371769159.5,9.993298005129443e-07
2026-01-09,2026-01-12 00:00:00,0001667211-26-000002,CZNC,CITIZENS & NORTHERN CORP,0000810958,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pellegrino Frank G,0001667211,,true,false,false,P,200.0,20.3767,4075.34,47454.0,D,371769159.5,1.0962017412851052e-05
