txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-18,2026-05-18 00:00:00,0001717677-26-000004,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",FELBER FRANCIS E,0001717677,,true,false,false,P,500.0,20.6,10300.0,21450.0,D,195871909.56948853,5.258538614668439e-05
2026-05-08,2026-05-11 00:00:00,0001628280-26-033159,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",SKARVAN KATHLEEN,0001266296,,true,false,false,P,450.0,21.13,9508.5,1750.0,I,195871909.56948853,4.8544480017062965e-05
2026-05-08,2026-05-11 00:00:00,0001628280-26-033159,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",SKARVAN KATHLEEN,0001266296,,true,false,false,P,300.0,21.2,6360.0,2050.0,I,195871909.56948853,3.247019960125366e-05
2026-05-05,2026-05-05 00:00:00,0001736138-26-000002,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Olson Timothy L,0001736138,,true,false,false,P,1000.0,20.945,20945.0,26684.0,D,195871909.56948853,0.00010693212746041792
2026-05-04,2026-05-05 00:00:00,0001717677-26-000002,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",FELBER FRANCIS E,0001717677,,true,false,false,P,1000.0,20.6,20600.0,20950.0,D,195871909.56948853,0.00010517077229336878
2026-04-30,2026-05-04 00:00:00,0001758518-26-000002,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Conner Michael R,0001758518,,true,false,false,P,1100.0,20.949,23043.9,15986.0,D,195871909.56948853,0.00011764780386656121
2025-08-06,2025-08-07 00:00:00,0001367859-25-000076,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Conner Michael R,0001758518,,true,false,false,P,1600.0,15.03,24048.0,14886.0,D,195871909.56948853,0.00012277411320926857
2025-08-04,2025-08-05 00:00:00,0001367859-25-000072,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Olson Timothy L,0001736138,,true,false,false,P,1471.0,14.99,22050.29,25684.0,D,195871909.56948853,0.00011257504993168674
2025-07-31,2025-07-31 00:00:00,0001367859-25-000067,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",FELBER FRANCIS E,0001717677,,true,false,false,P,3000.0,14.8,44400.0,19950.0,D,195871909.56948853,0.0002266787519332803
2025-07-31,2025-08-01 00:00:00,0001367859-25-000070,CZWI,Citizens Community Bancorp Inc.,0001367859,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",SKARVAN KATHLEEN,0001266296,,true,false,false,P,1000.0,14.74,14740.0,1300.0,I,195871909.56948853,7.525326134001242e-05
