txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-20,2026-05-20 00:00:00,0000935596-26-000009,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8500.0,17.4286,148143.1,14039109.0,D,646145096.1066227,0.00022927218807763635
2026-05-19,2026-05-20 00:00:00,0000935596-26-000009,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8328.0,17.4804,145576.7712,14030609.0,D,646145096.1066227,0.0002253004349598559
2026-05-18,2026-05-19 00:00:00,0000935596-26-000008,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8500.0,17.3299,147304.15,14022281.0,D,646145096.1066227,0.00022797379549514187
2026-05-15,2026-05-19 00:00:00,0000935596-26-000008,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8500.0,17.1621,145877.84999999998,14013781.0,D,646145096.1066227,0.00022576639655550083
2026-05-14,2026-05-15 00:00:00,0000935596-26-000007,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8500.0,17.1587,145848.94999999998,14005281.0,D,646145096.1066227,0.000225721669759346
2026-05-13,2026-05-15 00:00:00,0000935596-26-000007,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8500.0,16.8558,143274.3,13996781.0,D,646145096.1066227,0.00022173703841955303
2026-05-12,2026-05-13 00:00:00,0000935596-26-000006,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8500.0,16.9751,144288.35,13988281.0,D,646145096.1066227,0.00022330642276698556
2026-05-11,2026-05-13 00:00:00,0000935596-26-000006,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8500.0,17.1797,146027.45,13979781.0,D,646145096.1066227,0.00022599792350030232
2026-05-08,2026-05-11 00:00:00,0000935596-26-000005,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8077.0,17.131,138367.087,13971281.0,D,646145096.1066227,0.000214142439265944
2026-05-07,2026-05-11 00:00:00,0000935596-26-000005,DGICA,DONEGAL GROUP INC,0000800457,NASDAQ,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",DONEGAL MUTUAL INSURANCE CO,0000935596,,false,false,true,P,8500.0,17.0618,145025.30000000002,13963204.0,D,646145096.1066227,0.0002244469560689336
