txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-21,2026-05-21 00:00:00,0000785557-26-000022,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,1584.0,5.5,8712.0,2061855.0,I,81160994.61783648,0.00010734220349346721
2026-05-20,2026-05-21 00:00:00,0000785557-26-000022,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,120.0,5.5,660.0,2060271.0,I,81160994.61783648,8.131985113141455e-06
2026-05-19,2026-05-19 00:00:00,0001628280-26-036477,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,2397.0,5.5,13183.5,2060151.0,I,81160994.61783648,0.00016243640263500058
2026-05-18,2026-05-19 00:00:00,0001628280-26-036477,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,5304.0,5.5,29172.0,2057754.0,I,81160994.61783648,0.00035943374200085235
2026-05-14,2026-05-14 00:00:00,0001628280-26-035193,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,512.0,5.5,2816.0,2052450.0,I,81160994.61783648,3.469646981607021e-05
2026-05-13,2026-05-14 00:00:00,0001628280-26-035193,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,68547.0,5.5,377008.5,2051938.0,I,81160994.61783648,0.004645193196254228
2026-04-07,2026-04-08 00:00:00,0001628280-26-024263,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,196.0,5.5,1078.0,1983391.0,I,81160994.61783648,1.3282242351464378e-05
2026-02-19,2026-02-20 00:00:00,0000785557-26-000021,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,8048.0,5.5,44264.0,1983195.0,I,81160994.61783648,0.0005453851349213536
2026-02-18,2026-02-18 00:00:00,0000785557-26-000019,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,22057.0,5.5,121313.5,1975147.0,I,81160994.61783648,0.001494726630338009
2026-02-17,2026-02-18 00:00:00,0000785557-26-000019,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,2642.0,5.5,14531.0,1953090.0,I,81160994.61783648,0.00017903920557433105
2026-02-13,2026-02-13 00:00:00,0000785557-26-000017,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,319.0,5.5,1754.5,1950448.0,I,81160994.61783648,2.161752709243437e-05
2026-02-12,2026-02-13 00:00:00,0000785557-26-000017,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,13577.0,5.5,74673.5,1950129.0,I,81160994.61783648,0.0009200663490093461
2026-01-08,2026-01-08 00:00:00,0000785557-26-000002,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,1458.0,5.5,8019.0,1936552.0,I,81160994.61783648,9.880361912466868e-05
