txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-22,2026-06-22 00:00:00,0001079973-26-000857,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,4100.0,1.185,4858.5,500040.0,D,14839688.753786445,0.0003273990499807701
2026-06-15,2026-06-15 00:00:00,0001079973-26-000838,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,4000.0,1.21,4840.0,495940.0,D,14839688.753786445,0.0003261523931062936
2026-06-08,2026-06-08 00:00:00,0001079973-26-000797,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,4100.0,1.173,4809.3,491940.0,D,14839688.753786445,0.0003240836165632433
2026-06-01,2026-06-01 00:00:00,0001079973-26-000757,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3900.0,1.248,4867.2,487840.0,D,14839688.753786445,0.00032798531564606445
2026-05-26,2026-05-26 00:00:00,0001079973-26-000731,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3800.0,1.279,4860.2,483940.0,D,14839688.753786445,0.00032751360763950575
2026-05-18,2026-05-20 00:00:00,0001079973-26-000708,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,4100.0,1.18,4838.0,480140.0,D,14839688.753786445,0.0003260176193901339
2026-05-11,2026-05-12 00:00:00,0001079973-26-000639,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3400.0,1.46,4964.0,476040.0,D,14839688.753786445,0.0003345083635081903
2026-05-04,2026-05-04 00:00:00,0001079973-26-000593,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3400.0,1.46,4964.0,472640.0,D,14839688.753786445,0.0003345083635081903
2026-04-27,2026-04-27 00:00:00,0001079973-26-000540,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3400.0,1.456,4950.4,469240.0,D,14839688.753786445,0.00033359190223830484
2026-04-20,2026-04-20 00:00:00,0001079973-26-000509,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3200.0,1.524,4876.8,465840.0,D,14839688.753786445,0.0003286322294836307
2026-04-13,2026-04-14 00:00:00,0001079973-26-000477,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3200.0,1.54,4928.0,462640.0,D,14839688.753786445,0.0003320824366173171
2026-04-06,2026-04-08 00:00:00,0001553350-26-000058,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3150.0,1.57,4945.5,459440.0,D,14839688.753786445,0.0003332617066337138
2026-03-30,2026-04-01 00:00:00,0001079973-26-000426,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3100.0,1.57,4867.0,456290.0,D,14839688.753786445,0.0003279718382744485
2026-03-30,2026-04-21 00:00:00,0001079973-26-000521,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,Espensen Michael,0001520783,,true,false,false,P,6623.0,0.0,0.0,6651.0,D,14839688.753786445,0.0
2026-03-23,2026-03-23 00:00:00,0001079973-26-000351,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3100.0,1.59,4929.0,453190.0,D,14839688.753786445,0.0003321498234753969
2026-03-16,2026-03-16 00:00:00,0001079973-26-000312,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3100.0,1.59,4929.0,450090.0,D,14839688.753786445,0.0003321498234753969
2026-03-09,2026-03-09 00:00:00,0001079973-26-000281,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,2900.0,1.67,4843.0,446990.0,D,14839688.753786445,0.000326354553680533
2026-03-02,2026-03-02 00:00:00,0001079973-26-000272,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3100.0,1.61,4991.0,444090.0,D,14839688.753786445,0.00033632780867634527
2026-02-23,2026-02-24 00:00:00,0001079973-26-000255,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3000.0,1.65,4950.0,440990.0,D,14839688.753786445,0.00033356494749507297
2026-02-17,2026-02-17 00:00:00,0001079973-26-000237,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3300.0,1.47,4851.0,437990.0,D,14839688.753786445,0.0003268936485451715
2026-02-09,2026-02-11 00:00:00,0001079973-26-000194,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3000.0,1.64,4920.0,434690.0,D,14839688.753786445,0.00033154334175267857
2026-02-02,2026-02-02 00:00:00,0001079973-26-000149,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,2900.0,1.68,4872.0,431690.0,D,14839688.753786445,0.0003283087725648476
2026-01-26,2026-01-27 00:00:00,0001079973-26-000115,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,2700.0,1.805,4873.5,428790.0,D,14839688.753786445,0.00032840985285196726
2026-01-20,2026-01-20 00:00:00,0001079973-26-000101,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3100.0,1.609,4987.9,426090.0,D,14839688.753786445,0.00033611890941629785
2026-01-12,2026-01-13 00:00:00,0001079973-26-000079,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3000.0,1.66,4980.0,422990.0,D,14839688.753786445,0.00033558655323746736
2026-01-05,2026-01-05 00:00:00,0001079973-26-000010,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3000.0,1.622,4866.0,419990.0,D,14839688.753786445,0.0003279044514163687
2025-12-29,2025-12-29 00:00:00,0001553350-25-000210,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3600.0,1377.0,4957200.0,416990.0,D,14839688.753786445,0.3340501328732476
2025-12-22,2025-12-23 00:00:00,0001079973-25-001900,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3300.0,1.502,4956.6,413390.0,D,14839688.753786445,0.00033400970075839973
2025-12-19,2025-12-22 00:00:00,0001079973-25-001890,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,4452.0,1.54,6856.08,410090.0,D,14839688.753786445,0.0004620096899438424
2025-12-15,2025-12-17 00:00:00,0001079973-25-001869,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3000.0,1.63,4890.0,405638.0,D,14839688.753786445,0.0003295217360102842
2025-12-15,2025-12-16 00:00:00,0001079973-25-001860,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3000.0,1.163,3489.0,405638.0,D,14839688.753786445,0.00023511274784046658
2025-12-08,2025-12-08 00:00:00,0001079973-25-001821,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3000.0,1.657,4971.0,402638.0,D,14839688.753786445,0.000334980071514749
2025-12-01,2025-12-01 00:00:00,0001553350-25-000163,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,2950.0,1.669,4923.55,399638.0,D,14839688.753786445,0.00033178256509886194
2025-11-10,2025-11-10 00:00:00,0001079973-25-001670,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,3100.0,1.586,4916.6,396688.0,D,14839688.753786445,0.0003313142264352072
2025-11-03,2025-11-04 00:00:00,0001079973-25-001662,DLPN,"Dolphin Entertainment, Inc.",0001282224,NASDAQ,7200,Services-Personal Services,Services,O'Dowd William IV,0001520776,Chief Executive Officer,true,true,false,P,2800.0,1.776,4972.8,393588.0,D,14839688.753786445,0.0003351013678592927
