txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-20,2026-08-21 00:00:00,0001352090-26-000006,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Kurzius Lawrence Erik,0001352090,,true,false,false,P,40000.0,23.398,935920.0,188647.0,D,12196558854.96498,7.673639844889572e-05
2026-08-18,2026-08-18 00:00:00,0002001171-26-000006,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,O'Neill Shiv,0002001171,GC AND CORP SEC,false,true,false,P,3998.0,23.58,94272.84,87832.0,D,12196558854.96498,7.729462147564956e-06
2026-08-12,2026-08-13 00:00:00,0001566340-26-000006,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Harrington Michael J,0001566340,,true,false,false,P,5000.0,21.82,109100.0,131451.0,D,12196558854.96498,8.945146028265795e-06
2026-08-07,2026-08-10 00:00:00,0001374175-26-000005,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Herendeen Paul,0001374175,,true,false,false,P,10000.0,23.685,236850.0,111687.0,D,12196558854.96498,1.9419411886294716e-05
2026-08-07,2026-08-10 00:00:00,0001724169-26-000037,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,VanHimbergen Robert M,0001724169,EVP and CFO,false,true,false,P,4200.0,23.0776,96925.92,137516.0,D,12196558854.96498,7.94698907721364e-06
2026-05-15,2026-05-19 00:00:00,0001916473-26-000024,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Modi Rajeev A.,0001916473,SEE REMARKS,false,true,false,P,4911.0,20.35,99938.85,160812.0,D,12196558854.96498,8.19402023049451e-06
2026-05-15,2026-05-19 00:00:00,0001479079-26-000025,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Simmons Jeffrey N,0001479079,"PRESIDENT, CEO AND DIRECTOR",true,true,false,P,4971.0,20.085,99842.535,171971.0,I,12196558854.96498,8.186123330955441e-06
2025-12-12,2025-12-16 00:00:00,0001352090-25-000011,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Kurzius Lawrence Erik,0001352090,,true,false,false,P,10000.0,21.3,213000.0,131773.0,D,12196558854.96498,1.746394229166466e-05
2025-12-11,2025-12-15 00:00:00,0001479079-25-000017,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Simmons Jeffrey N,0001479079,"PRESIDENT, CEO AND DIRECTOR",true,true,false,P,22000.0,21.7498,478495.60000000003,167000.0,I,12196558854.96498,3.923201664420403e-05
2025-12-11,2025-12-15 00:00:00,0001724169-25-000007,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,VanHimbergen Robert M,0001724169,EVP and CFO,false,true,false,P,6950.0,21.6441,150426.49500000002,124233.0,D,12196558854.96498,1.2333519379424333e-05
2025-12-11,2025-12-15 00:00:00,0001916473-25-000017,ELAN,Elanco Animal Health Inc,0001739104,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Modi Rajeev A.,0001916473,SEE REMARKS,false,true,false,P,4500.0,21.33,95984.99999999999,123082.0,D,12196558854.96498,7.869842727067756e-06
