txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-01-30,2026-02-02 00:00:00,0001104659-26-009295,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,RAKIN KEVIN,0001184421,,true,false,true,P,70000.0,1.06,74200.0,196120.0,D,45976563.75358963,0.001613865716404411
2026-01-30,2026-02-02 00:00:00,0001222362-26-000004,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,NEELS GUIDO J,0001222362,,true,false,false,P,20000.0,1.04,20800.0,118750.0,D,45976563.75358963,0.00045240440567670816
2026-01-29,2026-01-29 00:00:00,0001222362-26-000002,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,NEELS GUIDO J,0001222362,,true,false,false,P,15000.0,1.06,15900.0,98750.0,D,45976563.75358963,0.0003458283678009452
2026-01-28,2026-01-29 00:00:00,0001222362-26-000002,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,NEELS GUIDO J,0001222362,,true,false,false,P,15000.0,1.06,15900.0,83750.0,D,45976563.75358963,0.0003458283678009452
2025-12-17,2025-12-18 00:00:00,0001304079-25-000008,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Ferguson Matthew,0001304079,CHIEF FINANCIAL OFFICER,false,true,false,P,60000.0,0.53,31800.0,447110.0,D,45976563.75358963,0.0006916567356018904
2025-12-17,2025-12-19 00:00:00,0001104659-25-123259,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,RAKIN KEVIN,0001184421,,true,false,true,P,50000.0,0.5199,25995.0,322419.0,I,45976563.75358963,0.0005653967560368283
2025-12-17,2025-12-18 00:00:00,0001375927-25-000005,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Makes Brigid,0001375927,,true,false,false,P,25000.0,0.52,13000.0,27000.0,D,45976563.75358963,0.0002827527535479426
2025-12-17,2025-12-18 00:00:00,0001818776-25-000006,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Colpman David,0001818776,,true,false,false,P,12500.0,0.51,6375.0,31098.0,D,45976563.75358963,0.00013865760029754877
2025-12-17,2025-12-18 00:00:00,0001370939-25-000011,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Mills C Randal,0001370939,PRESIDENT AND CEO,true,true,false,P,3000.0,0.51,1530.0,379204.0,D,45976563.75358963,3.327782407141171e-05
2025-12-02,2025-12-03 00:00:00,0001304079-25-000004,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Ferguson Matthew,0001304079,CHIEF FINANCIAL OFFICER,false,true,false,P,5500.0,0.67,3685.0,379071.0,D,45976563.75358963,8.014953052493604e-05
2025-12-01,2025-12-03 00:00:00,0001304079-25-000004,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Ferguson Matthew,0001304079,CHIEF FINANCIAL OFFICER,false,true,false,P,4500.0,0.65,2925.0,373571.0,D,45976563.75358963,6.361936954828709e-05
2025-11-24,2025-11-26 00:00:00,0001370939-25-000007,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Mills C Randal,0001370939,PRESIDENT AND CEO,true,true,false,P,5000.0,0.6,3000.0,358785.0,D,45976563.75358963,6.525063543414061e-05
2025-11-17,2025-11-19 00:00:00,0001818776-25-000004,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Colpman David,0001818776,,true,false,false,P,15500.0,0.74,11470.0,18598.0,D,45976563.75358963,0.0002494749294765309
2025-11-13,2025-11-14 00:00:00,0001370939-25-000005,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Mills C Randal,0001370939,PRESIDENT AND CEO,true,true,false,P,5000.0,0.75,3750.0,350285.0,D,45976563.75358963,8.156329429267575e-05
2025-11-13,2025-11-14 00:00:00,0001370939-25-000005,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Mills C Randal,0001370939,PRESIDENT AND CEO,true,true,false,P,5000.0,0.74,3700.0,345285.0,D,45976563.75358963,8.047578370210674e-05
2025-11-13,2025-11-14 00:00:00,0001370939-25-000005,ELUT,ELUTIA INC.,0001708527,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,Mills C Randal,0001370939,PRESIDENT AND CEO,true,true,false,P,3500.0,0.76,2660.0,353785.0,D,45976563.75358963,5.7855563418271335e-05
