txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-03,2026-02-20 00:00:00,0000921895-26-000529,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Management LP,0002110268,,false,false,true,P,559183.0,4.6789,2616361.3386999997,4500000.0,I,146398722.575428,0.01787147655849244
2026-02-03,2026-02-04 00:00:00,0000921895-26-000220,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Opportunities Fund LP,0002079674,,false,false,true,P,559183.0,4.6789,2616361.3386999997,4500000.0,D,146398722.575428,0.01787147655849244
2026-02-02,2026-02-20 00:00:00,0000921895-26-000529,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Management LP,0002110268,,false,false,true,P,131962.0,4.6689,616117.3818,3940817.0,I,146398722.575428,0.00420848878297119
2026-02-02,2026-02-04 00:00:00,0000921895-26-000220,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Opportunities Fund LP,0002079674,,false,false,true,P,131962.0,4.6689,616117.3818,3940817.0,D,146398722.575428,0.00420848878297119
2026-01-30,2026-02-20 00:00:00,0000921895-26-000528,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Management LP,0002110268,,false,false,true,P,114447.0,4.8245,552149.5515,3808855.0,I,146398722.575428,0.0037715462388377037
2026-01-30,2026-01-30 00:00:00,0000921895-26-000175,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Opportunities Fund LP,0002079674,,false,false,true,P,114447.0,4.8245,552149.5515,3808855.0,D,146398722.575428,0.0037715462388377037
2026-01-29,2026-02-20 00:00:00,0000921895-26-000528,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Management LP,0002110268,,false,false,true,P,190971.0,4.9053,936770.0463,3694408.0,I,146398722.575428,0.006398758334912072
2026-01-29,2026-01-30 00:00:00,0000921895-26-000175,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Opportunities Fund LP,0002079674,,false,false,true,P,190971.0,4.9053,936770.0463,3694408.0,D,146398722.575428,0.006398758334912072
2026-01-28,2026-02-20 00:00:00,0000921895-26-000528,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Management LP,0002110268,,false,false,true,P,123208.0,5.0874,626808.3792,3503437.0,I,146398722.575428,0.00428151535869484
2026-01-28,2026-01-30 00:00:00,0000921895-26-000175,EMPD,Empery Digital Inc.,0001829794,NASDAQ,3711,Motor Vehicles & Passenger Car Bodies,Manufacturing,ATG Capital Opportunities Fund LP,0002079674,,false,false,true,P,123208.0,5.0874,626808.3792,3503437.0,D,146398722.575428,0.00428151535869484
