txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-04,2026-09-04 00:00:00,0001193125-26-384027,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,McDonald Damien,0001686894,Chief Executive Officer,true,true,false,P,13035.0,19.15,249620.24999999997,247077.0,D,1152236463.7210007,0.0002166397765211172
2026-09-04,2026-09-08 00:00:00,0001193125-26-385615,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,2660.0,18.8,50008.0,63898.0,D,1152236463.7210007,4.34008136129502e-05
2026-09-03,2026-09-04 00:00:00,0001193125-26-384028,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,5140.0,19.46,100024.40000000001,61238.0,D,1152236463.7210007,8.680891739616014e-05
2026-09-02,2026-09-04 00:00:00,0001193125-26-384028,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,2458.0,20.32,49946.56,56098.0,D,1152236463.7210007,4.334749122476471e-05
2026-06-15,2026-06-16 00:00:00,0001193125-26-273151,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,1000.0,20.92,20920.0,53640.0,D,1152236463.7210007,1.815599545638534e-05
2026-06-11,2026-06-15 00:00:00,0001193125-26-271546,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,1000.0,21.75,21750.0,51840.0,D,1152236463.7210007,1.8876333708240017e-05
2026-06-11,2026-06-15 00:00:00,0001193125-26-271546,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,200.0,20.99,4198.0,50840.0,D,1152236463.7210007,3.6433493750432914e-06
2026-06-10,2026-06-11 00:00:00,0001193125-26-268213,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,1000.0,23.0,23000.0,50640.0,D,1152236463.7210007,1.9961180473081396e-05
2026-06-01,2026-06-03 00:00:00,0001193125-26-256111,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,1000.0,22.22,22220.0,49640.0,D,1152236463.7210007,1.9284236091820377e-05
2026-03-13,2026-03-16 00:00:00,0001193125-26-108925,ENOV,Enovis CORP,0001420800,NYSE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Engert Oliver,0002105870,Chief Administrative Officer,false,true,false,P,1000.0,23.74,23740.0,48640.0,D,1152236463.7210007,2.0603409757867494e-05
