txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-21,2026-09-21 00:00:00,0001104659-26-109383,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,13467.0,5.93,79859.31,642456.0,I,177559378.3283205,0.00044976114892863724
2026-09-18,2026-09-21 00:00:00,0001104659-26-109383,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,1430.0,5.9,8437.0,628989.0,I,177559378.3283205,4.7516498871714674e-05
2026-09-16,2026-09-21 00:00:00,0001104659-26-109383,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,8207.0,5.88,48257.159999999996,627559.0,I,177559378.3283205,0.0002717804063875968
2026-08-24,2026-08-25 00:00:00,0001104659-26-100600,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,21413.0,5.626,120469.538,619352.0,I,177559378.3283205,0.0006784746552628882
2026-08-21,2026-08-25 00:00:00,0001104659-26-100600,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,4900.0,5.56,27243.999999999996,597939.0,I,177559378.3283205,0.00015343599564548945
2026-06-24,2026-06-25 00:00:00,0001104659-26-077619,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,21800.0,5.27,114885.99999999999,593039.0,I,177559378.3283205,0.0006470286226592167
2026-06-24,2026-06-25 00:00:00,0001104659-26-077619,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,200.0,5.265,1053.0,571239.0,I,177559378.3283205,5.930410490922787e-06
2026-06-22,2026-06-25 00:00:00,0001104659-26-077619,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,18600.0,5.34,99324.0,571039.0,I,177559378.3283205,0.000559384702374563
2026-06-22,2026-06-25 00:00:00,0001104659-26-077619,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,9400.0,5.31,49913.99999999999,552439.0,I,177559378.3283205,0.0002811115947235707
2026-03-31,2026-03-31 00:00:00,0001104659-26-037816,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,2000.0,6.17,12340.0,543039.0,I,177559378.3283205,6.949787792781309e-05
2026-03-30,2026-03-31 00:00:00,0001104659-26-037816,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,12000.0,6.22,74640.0,518765.0,D,177559378.3283205,0.0004203664188437576
2026-03-27,2026-03-31 00:00:00,0001104659-26-037816,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,6000.0,6.2,37200.0,541039.0,I,177559378.3283205,0.00020950737916650302
2025-12-22,2025-12-22 00:00:00,0001104659-25-123818,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,19100.0,4.59,87669.0,535039.0,I,177559378.3283205,0.0004937446888211869
2025-12-19,2025-12-22 00:00:00,0001104659-25-123818,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,9400.0,4.62,43428.0,515939.0,I,177559378.3283205,0.00024458296942050787
2025-11-20,2025-11-21 00:00:00,0001104659-25-114848,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,9700.0,4.77,46268.99999999999,506539.0,I,177559378.3283205,0.00026058325071653027
2025-11-19,2025-11-21 00:00:00,0001104659-25-114848,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Stabell Jason,0001937240,Chief Executive Officer,true,true,false,P,11500.0,4.822,55453.0,496839.0,I,177559378.3283205,0.00031230679292795945
2025-09-30,2025-10-02 00:00:00,0001104659-25-095967,EPSN,Epsilon Energy Ltd.,0001726126,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Williamson Andrew,0001937312,Chief Financial Officer,false,true,false,P,12500.0,4.94,61750.00000000001,72500.0,I,177559378.3283205,0.00034777098557880543
