txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-18,2026-06-22 00:00:00,0001193125-26-277880,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Floyd Gregory Everette,0002133946,,true,false,false,P,18750.0,12.5,234375.0,152990.0,D,387145631.3689194,0.0006053923407872813
2026-06-18,2026-06-22 00:00:00,0001193125-26-277881,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Gussenhoven John Walter,0002133918,,true,false,false,P,16000.0,12.5,200000.0,334016.0,D,387145631.3689194,0.00051660146413848
2026-06-18,2026-06-22 00:00:00,0001193125-26-277884,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LUCAS JAMES A JR,0001193392,,true,false,false,P,16000.0,12.5,200000.0,439884.0,D,387145631.3689194,0.00051660146413848
2026-06-18,2026-06-22 00:00:00,0001193125-26-277888,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Robbins Charles Austin Jr,0002134696,,true,false,false,P,14000.0,12.5,175000.0,369492.0,D,387145631.3689194,0.00045202628112117003
2026-06-18,2026-06-22 00:00:00,0001193125-26-277875,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Andracchio Vincent Charles II,0002133925,,true,false,false,P,8000.0,12.5,100000.0,33284.0,I,387145631.3689194,0.00025830073206924
2026-06-18,2026-06-22 00:00:00,0001193125-26-277891,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Boone Sandra Bell,0002133916,,true,false,false,P,7000.0,12.5,87500.0,304782.0,D,387145631.3689194,0.00022601314056058501
2026-06-18,2026-06-22 00:00:00,0001193125-26-277886,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Paul Charles Albert III,0001373966,,true,false,false,P,7000.0,12.5,87500.0,103000.0,I,387145631.3689194,0.00022601314056058501
2026-06-18,2026-06-22 00:00:00,0001193125-26-277879,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Ferebee John Jethro Jr,0002134399,,true,false,false,P,7000.0,12.5,87500.0,7000.0,I,387145631.3689194,0.00022601314056058501
2026-06-18,2026-06-22 00:00:00,0001193125-26-277879,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Ferebee John Jethro Jr,0002134399,,true,false,false,P,7000.0,12.5,87500.0,300176.0,D,387145631.3689194,0.00022601314056058501
2026-06-18,2026-06-22 00:00:00,0001193125-26-277894,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",DEATON STEVEN G,0001272193,CFO and Chief Risk Officer,false,true,false,P,4000.0,12.5,50000.0,79000.0,D,387145631.3689194,0.00012915036603462
2026-06-18,2026-06-22 00:00:00,0001193125-26-277890,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Shannon Kevin Meek,0002133651,,true,false,false,P,4000.0,12.5,50000.0,23000.0,D,387145631.3689194,0.00012915036603462
2026-06-18,2026-06-22 00:00:00,0001193125-26-277872,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Ford Douglas IV,0002122633,Chief Banking Officer of Bank,false,true,false,P,4000.0,12.5,50000.0,160000.0,D,387145631.3689194,0.00012915036603462
2026-06-18,2026-06-22 00:00:00,0001193125-26-277869,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Day Ronald Arvin,0002122724,"Chairman, President and CEO",true,true,false,P,4000.0,12.5,50000.0,383600.0,D,387145631.3689194,0.00012915036603462
2026-06-18,2026-06-22 00:00:00,0001193125-26-277880,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Floyd Gregory Everette,0002133946,,true,false,false,P,3375.0,12.5,42187.5,3375.0,I,387145631.3689194,0.00010897062134171062
2026-06-18,2026-06-22 00:00:00,0001193125-26-277880,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Floyd Gregory Everette,0002133946,,true,false,false,P,3375.0,12.5,42187.5,43375.0,I,387145631.3689194,0.00010897062134171062
2026-06-18,2026-06-22 00:00:00,0001193125-26-277880,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Floyd Gregory Everette,0002133946,,true,false,false,P,3125.0,12.5,39062.5,3125.0,I,387145631.3689194,0.00010089872346454688
2026-06-18,2026-06-22 00:00:00,0001193125-26-277884,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LUCAS JAMES A JR,0001193392,,true,false,false,P,1260.0,12.5,15750.0,52860.0,I,387145631.3689194,4.06823653009053e-05
2026-06-18,2026-06-22 00:00:00,0001193125-26-277878,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Suiter Overton Stokes III,0002122729,Chief Credit Officer of Bank,false,true,false,P,1100.0,12.5,13750.0,84100.0,D,387145631.3689194,3.55163506595205e-05
2026-06-18,2026-06-22 00:00:00,0001193125-26-277877,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pritchard Patrick Wayne,0002122725,Chief Info. Officer of Bank,false,true,false,P,1000.0,12.5,12500.0,50000.0,D,387145631.3689194,3.2287591508655e-05
2026-06-18,2026-06-22 00:00:00,0001193125-26-277884,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LUCAS JAMES A JR,0001193392,,true,false,false,P,960.0,12.5,12000.0,5790.0,I,387145631.3689194,3.09960878483088e-05
2026-06-18,2026-06-22 00:00:00,0001193125-26-277884,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",LUCAS JAMES A JR,0001193392,,true,false,false,P,960.0,12.5,12000.0,17790.0,I,387145631.3689194,3.09960878483088e-05
2026-06-18,2026-06-22 00:00:00,0001193125-26-277871,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Brabble Kristen Dawn,0002122736,Chief Operating Officer,false,true,false,P,750.0,12.5,9375.0,135000.0,D,387145631.3689194,2.421569363149125e-05
2026-06-18,2026-06-22 00:00:00,0001193125-26-277879,FCBM,"First Carolina Financial Services, Inc.",0001531193,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Ferebee John Jethro Jr,0002134399,,true,false,false,P,100.0,13.0,1300.0,7100.0,I,387145631.3689194,3.35790951690012e-06
