txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-19,2026-08-20 00:00:00,0001193125-26-358811,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Morais Diane E.,0001637730,,true,false,false,P,46.0,2168.1319,99734.0674,96.0,D,24653446167.421875,4.045441222403742e-06
2026-08-19,2026-08-20 00:00:00,0001193125-26-358811,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Morais Diane E.,0001637730,,true,false,false,P,4.0,2167.8049,8671.2196,100.0,D,24653446167.421875,3.517244421373643e-07
2026-06-05,2026-06-08 00:00:00,0001193125-26-262431,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,150.0,1840.0,276000.0,64038.0,D,24653446167.421875,1.1195189432166212e-05
2026-06-05,2026-06-08 00:00:00,0001193125-26-262436,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,111.0,1898.0,210678.0,64287.0,D,24653446167.421875,8.54558014199244e-06
2026-06-05,2026-06-08 00:00:00,0001193125-26-262431,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,96.0,1800.0,172800.0,63821.0,D,24653446167.421875,7.009162079269281e-06
2026-06-05,2026-06-08 00:00:00,0001193125-26-262436,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,60.0,1860.0,111600.0,64160.0,D,24653446167.421875,4.526750509528077e-06
2026-06-05,2026-06-08 00:00:00,0001193125-26-262431,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,61.0,1798.99,109738.39,63725.0,D,24653446167.421875,4.451239362430922e-06
2026-06-05,2026-06-08 00:00:00,0001193125-26-262445,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,47.0,2050.0,96350.0,64515.0,D,24653446167.421875,3.9081757311203425e-06
2026-06-05,2026-06-08 00:00:00,0001193125-26-262431,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,50.0,1836.13,91806.5,63888.0,D,24653446167.421875,3.7238810094353894e-06
2026-06-05,2026-06-08 00:00:00,0001193125-26-262431,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,50.0,1743.8,87190.0,63622.0,D,24653446167.421875,3.536625241270189e-06
2026-06-05,2026-06-08 00:00:00,0001193125-26-262436,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,43.0,1970.0,84710.0,64382.0,D,24653446167.421875,3.4360307855028983e-06
2026-06-05,2026-06-08 00:00:00,0001193125-26-262431,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,0000798941,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HOLDING FRANK B JR,0001065416,Chairman and CEO,true,true,true,P,41.0,1853.92,76010.72,64100.0,D,24653446167.421875,3.0831681495483517e-06
