txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-18,2026-08-20 00:00:00,0001193125-26-358683,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Denny Michael B.,0001774246,,true,false,false,P,3000.0,34.66,103979.99999999999,6500.0,I,4891767967.000294,2.125611858564136e-05
2026-07-24,2026-07-27 00:00:00,0001193125-26-318317,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Nickles Robert Clark Jr,0001774337,,true,false,false,P,700.0,34.89,24423.0,98324.0,I,4891767967.000294,4.992673439287545e-06
2026-06-11,2026-06-15 00:00:00,0001193125-26-270869,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Edwards Murray Hamilton,0001356117,,true,false,false,P,1000.0,33.18,33180.0,44634.0,I,4891767967.000294,6.782823761026932e-06
2026-05-05,2026-05-06 00:00:00,0001193125-26-209393,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Nickles Robert Clark Jr,0001774337,,true,false,false,P,664.0,31.96,21221.440000000002,97624.0,I,4891767967.000294,4.3381943181195716e-06
2026-03-13,2026-03-16 00:00:00,0001193125-26-108315,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Edwards Murray Hamilton,0001356117,,true,false,false,P,1000.0,29.32,29320.0,43634.0,I,4891767967.000294,5.993742997990043e-06
2026-03-12,2026-03-13 00:00:00,0001193125-26-105550,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Haney Geoff,0002069144,,true,false,false,P,1500.0,29.18,43770.0,33646.0,D,4891767967.000294,8.947685232674768e-06
2026-03-12,2026-03-13 00:00:00,0001193125-26-105528,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TROTTER JOHNNY,0001251133,,true,false,false,P,1000.0,29.26,29260.0,956444.0,D,4891767967.000294,5.981477493901387e-06
2026-03-09,2026-03-11 00:00:00,0001193125-26-101706,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Hickox Michelle S,0001573445,EVP/CFO,false,true,false,P,1000.0,29.5,29500.0,14600.0,I,4891767967.000294,6.030539510256012e-06
2026-03-09,2026-03-11 00:00:00,0001193125-26-101706,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Hickox Michelle S,0001573445,EVP/CFO,false,true,false,P,1000.0,29.5,29500.0,11861.0,D,4891767967.000294,6.030539510256012e-06
2026-03-06,2026-03-09 00:00:00,0001193125-26-098817,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Davis Sally Pope,0002026030,,true,false,false,P,1800.0,29.52,53136.0,10371.0,D,4891767967.000294,1.0862330420914015e-05
2026-03-06,2026-03-09 00:00:00,0001193125-26-098854,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Goodrich Brian D.,0002038375,EVP - General Counsel,false,true,false,P,1665.0,29.89,49766.85,5831.0,D,4891767967.000294,1.0173591702575743e-05
2026-03-05,2026-03-06 00:00:00,0001193125-26-095810,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",TROTTER JOHNNY,0001251133,,true,false,false,P,4000.0,30.02,120080.0,955444.0,D,4891767967.000294,2.4547362182764134e-05
2026-03-05,2026-03-06 00:00:00,0001193125-26-095828,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Goodrich Brian D.,0002038375,EVP - General Counsel,false,true,false,P,1565.0,30.13,47153.45,4093.0,D,4891767967.000294,9.639347229487503e-06
2026-03-02,2026-03-03 00:00:00,0001193125-26-088303,FFIN,FIRST FINANCIAL BANKSHARES INC,0000036029,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Davis Sally Pope,0002026030,,true,false,false,P,1600.0,31.21,49936.0,8571.0,D,4891767967.000294,1.0208170202852347e-05
