txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-17,2026-09-18 00:00:00,0001437749-26-030745,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,500.0,17.6,8800.0,2270.0,I,138432216.78,6.356901742016588e-05
2026-09-16,2026-09-18 00:00:00,0001437749-26-030745,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,20.0,17.6,352.0,1770.0,I,138432216.78,2.542760696806635e-06
2026-09-15,2026-09-17 00:00:00,0001437749-26-030686,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",WALKER ROBERT W,0001157292,,true,false,false,P,4000.0,17.74,70960.0,11702.0,D,138432216.78,0.0005125974404698831
2026-09-15,2026-09-18 00:00:00,0001437749-26-030745,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,570.0,17.75,10117.5,570.0,I,138432216.78,7.308631065324186e-05
2026-09-15,2026-09-18 00:00:00,0001437749-26-030745,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,165.0,17.72,2923.7999999999997,165.0,I,138432216.78,2.1120806037850114e-05
2026-09-15,2026-09-18 00:00:00,0001437749-26-030745,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,125.0,17.72,2215.0,125.0,I,138432216.78,1.6000610634734935e-05
2026-09-10,2026-09-11 00:00:00,0001437749-26-030168,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",WALKER ROBERT W,0001157292,,true,false,false,P,6000.0,7.88,47280.0,62621.0,D,138432216.78,0.00034153899359380034
2026-09-10,2026-09-11 00:00:00,0001437749-26-030168,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",WALKER ROBERT W,0001157292,,true,false,false,P,2500.0,18.18,45450.0,7702.0,D,138432216.78,0.00032831952747119767
2026-09-09,2026-09-10 00:00:00,0001437749-26-030075,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,250.0,18.25,4562.5,1750.0,I,138432216.78,3.295836840676214e-05
2026-09-08,2026-09-10 00:00:00,0001437749-26-030075,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,500.0,18.4,9200.0,1500.0,I,138432216.78,6.645851821199161e-05
2026-09-03,2026-09-08 00:00:00,0001437749-26-029825,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,200.0,18.5,3700.0,1000.0,I,138432216.78,2.672788232438793e-05
2026-09-02,2026-09-08 00:00:00,0001437749-26-029825,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,200.0,18.75,3750.0,800.0,I,138432216.78,2.7089069923366143e-05
2026-08-31,2026-09-08 00:00:00,0001437749-26-029825,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",McAnally Bruce,0002050381,,true,false,false,P,200.0,19.0,3800.0,600.0,I,138432216.78,2.7450257522344357e-05
2026-08-19,2026-08-20 00:00:00,0001437749-26-028648,FGBI,"First Guaranty Bancshares, Inc.",0001408534,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",WALKER ROBERT W,0001157292,,true,false,false,P,3593.0,19.12,68698.16,5202.0,D,138432216.78,0.0004962584692924254
