txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-07,2026-08-11 00:00:00,0000798354-26-000033,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,FRITZ LANCE M,0001499784,,true,false,false,P,10000.0,51.95,519500.0,27207.0,D,27417892865.03046,1.894748084972586e-05
2026-06-17,2026-06-18 00:00:00,0001612508-26-000007,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,Todd Paul M,0001612508,Chief Financial Officer,false,true,false,P,10060.0,49.7,499982.0,184107.0,D,27417892865.03046,1.823560995227649e-05
2026-06-17,2026-06-17 00:00:00,0001800960-26-000008,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,Mamilli Wafaa,0001800960,,true,false,false,P,2960.0,50.59,149746.40000000002,15386.0,D,27417892865.03046,5.461630503013262e-06
2026-06-16,2026-06-16 00:00:00,0001549373-26-000010,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,Rosman Adam L.,0001549373,Chief Admin. and Legal Officer,false,true,false,P,10150.0,49.33,500699.5,136724.0,D,27417892865.03046,1.826177899464353e-05
2026-06-16,2026-06-16 00:00:00,0001655046-26-000012,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,Nixon Gordon M.,0001655046,,true,false,false,P,7500.0,49.57,371775.0,17656.0,D,27417892865.03046,1.3559575924748474e-05
2026-06-16,2026-06-16 00:00:00,0001732108-26-000008,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,DiSimone Harry,0001732108,,true,false,false,P,2088.0,48.41,101080.07999999999,23607.0,D,27417892865.03046,3.6866465449254244e-06
2026-06-16,2026-06-16 00:00:00,0001987329-26-000014,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,Yarkoni Charlotte,0001987329,,true,false,false,P,2023.0,49.49,100118.27,10146.0,D,27417892865.03046,3.6515668980417387e-06
2025-12-02,2025-12-02 00:00:00,0001549373-25-000003,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,Rosman Adam L.,0001549373,Chief Admin. and Legal Officer,false,true,false,P,7900.0,63.19,499201.0,61285.0,D,27417892865.03046,1.8207124904069296e-05
2025-12-01,2025-12-02 00:00:00,0001612508-25-000009,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,Todd Paul M,0001612508,Chief Financial Officer,false,true,false,P,17000.0,62.41,1060970.0,24453.0,D,27417892865.03046,3.869626324761049e-05
2025-10-30,2025-11-03 00:00:00,0000798354-25-000173,FISV,FISERV INC,0000798354,NASDAQ,7389,"Services-Business Services, Nec",Services,FRITZ LANCE M,0001499784,,true,false,false,P,10000.0,65.18,651800.0000000001,13086.0,D,27417892865.03046,2.3772796954477995e-05
