txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-12,2026-06-16 00:00:00,0001193125-26-272687,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,GLOBAL VALUE INVESTMENT CORP.,0001569866,,false,false,true,P,61368.0,2.7523,168903.1464,3151044.0,I,106740246.6852417,0.0015823754548559908
2026-06-12,2026-06-16 00:00:00,0001193125-26-272694,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,GEYGAN JAMES,0001734726,,true,false,true,P,60183.0,2.7517,165605.5611,3100838.0,I,106740246.6852417,0.0015514819034318124
2026-06-12,2026-06-16 00:00:00,0001193125-26-272694,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,GEYGAN JAMES,0001734726,,true,false,true,P,1185.0,2.7822,3296.907,59591.0,D,106740246.6852417,3.0887196745216464e-05
2026-06-01,2026-06-02 00:00:00,0001437749-26-019106,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,Conlin Matthew,0001660879,Chief Customer Officer,true,true,true,P,5000.0,2.07,10350.0,2468677.0,D,106740246.6852417,9.696436275363254e-05
2026-06-01,2026-06-02 00:00:00,0001437749-26-019105,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,Schulke Ryan,0001660850,Chief Strategy Officer,true,true,true,P,5000.0,2.07,10350.0,3497995.0,D,106740246.6852417,9.696436275363254e-05
2026-03-13,2026-03-16 00:00:00,0001193125-26-108980,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,GLOBAL VALUE INVESTMENT CORP.,0001569866,,false,false,true,P,65148.0,3.4712,226141.7376,3089676.0,I,106740246.6852417,0.002118617340906588
2026-03-13,2026-03-16 00:00:00,0001193125-26-108979,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,GEYGAN JAMES,0001734726,,true,false,true,P,65148.0,3.4712,226141.7376,3040655.0,I,106740246.6852417,0.002118617340906588
2026-03-13,2026-03-16 00:00:00,0001193125-26-108979,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,GEYGAN JAMES,0001734726,,true,false,true,P,125.0,3.4712,433.90000000000003,58406.0,D,106740246.6852417,4.065008405681272e-06
2026-03-12,2026-03-16 00:00:00,0001193125-26-108980,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,GLOBAL VALUE INVESTMENT CORP.,0001569866,,false,false,true,P,17207.0,3.4858,59980.160599999996,3024528.0,I,106740246.6852417,0.0005619263816849795
2026-03-12,2026-03-16 00:00:00,0001193125-26-108979,FLNT,"Fluent, Inc.",0001460329,NASDAQ,7310,Services-Advertising,Services,GEYGAN JAMES,0001734726,,true,false,true,P,17207.0,3.4858,59980.160599999996,2975632.0,I,106740246.6852417,0.0005619263816849795
