txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-19,2026-02-19 00:00:00,0001114927-26-000019,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,250.0,14.5,3625.0,3363.0,D,290075871.0870209,1.2496730549893009e-05
2026-02-19,2026-02-19 00:00:00,0001114927-26-000019,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,213.0,14.4983,3088.1379,3113.0,D,290075871.0870209,1.0645966134403434e-05
2026-02-19,2026-02-19 00:00:00,0001114927-26-000019,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,100.0,14.6,1460.0,3463.0,D,290075871.0870209,5.033165959405184e-06
2026-02-18,2026-02-19 00:00:00,0001114927-26-000019,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,400.0,14.6483,5859.320000000001,2900.0,D,290075871.0870209,2.019926710223424e-05
2026-02-18,2026-02-19 00:00:00,0001114927-26-000019,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,300.0,14.6237,4387.11,2500.0,D,290075871.0870209,1.5124008706963066e-05
2026-02-18,2026-02-19 00:00:00,0001114927-26-000019,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,200.0,14.55,2910.0,2200.0,D,290075871.0870209,1.0031858179362387e-05
2026-02-18,2026-02-19 00:00:00,0001114927-26-000021,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Hayes Barbara A,0001667373,,true,false,false,P,171.0,14.7,2513.7,12273.0,D,290075871.0870209,8.665663885038912e-06
2026-02-12,2026-02-12 00:00:00,0001114927-26-000015,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,400.0,14.6,5840.0,2000.0,D,290075871.0870209,2.0132663837620737e-05
2026-02-11,2026-02-12 00:00:00,0001114927-26-000010,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Bedoya Richard,0002080211,,true,false,false,P,893.0,14.49,12939.57,2907.0,D,290075871.0870209,4.460753647489078e-05
2026-02-11,2026-02-12 00:00:00,0001114927-26-000015,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,880.0,14.45,12716.0,1300.0,D,290075871.0870209,4.383680708205228e-05
2026-02-11,2026-02-12 00:00:00,0001114927-26-000015,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,300.0,14.5883,4376.49,1600.0,D,290075871.0870209,1.508739759566931e-05
2026-02-11,2026-02-12 00:00:00,0001114927-26-000015,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,200.0,14.44,2888.0,420.0,D,290075871.0870209,9.95601595257683e-06
2026-02-11,2026-02-12 00:00:00,0001114927-26-000015,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,119.0,14.3292,1705.1748,119.0,D,290075871.0870209,5.878375176846262e-06
2026-02-11,2026-02-12 00:00:00,0001114927-26-000015,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Servat Jean-Luc,0002110749,,true,false,false,P,101.0,14.33,1447.33,220.0,D,290075871.0870209,4.989487731524593e-06
2025-08-07,2025-08-07 00:00:00,0001114927-25-000042,FNRN,FIRST NORTHERN COMMUNITY BANCORP,0001114927,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Bedoya Richard,0002080211,,true,false,false,P,2014.0,11.19,22536.66,2014.0,D,290075871.0870209,7.76922944867729e-05
