txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-13,2026-03-17 00:00:00,0001491166-26-000002,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Engel Matthew A,0001491166,Chief Financial Officer,false,true,false,P,10600.0,16.453,174401.8,33436.0,D,176340824.39706612,0.0009890041094925356
2026-03-13,2026-03-16 00:00:00,0000945621-26-000452,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,28.0,16.1,450.80000000000007,1267718.0,I,176340824.39706612,2.5564131365572786e-06
2025-08-05,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,10628.0,22.53,239448.84000000003,1267690.0,I,176340824.39706612,0.0013578752442533317
2025-06-20,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,1112.0,20.9,23240.8,1257062.0,I,176340824.39706612,0.00013179477911291125
2025-06-18,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,8778.0,21.0,184338.0,1255950.0,I,176340824.39706612,0.0010453506760574435
2025-06-17,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,10000.0,21.2,212000.0,1247172.0,I,176340824.39706612,0.0012022173579195718
2025-06-11,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,4597.0,21.9,100674.29999999999,1237172.0,I,176340824.39706612,0.0005709075045113317
2025-06-10,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,10000.0,22.0,220000.0,1232575.0,I,176340824.39706612,0.0012475840506712538
2025-05-22,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,5575.0,21.33,118914.74999999999,5575.0,D,176340824.39706612,0.0006743461158616339
2025-05-22,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,350.0,21.33,7465.499999999999,350.0,I,176340824.39706612,4.23356305922102e-05
2025-05-22,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,45.0,21.33,959.8499999999999,45.0,I,176340824.39706612,5.4431525047127404e-06
2025-05-22,2025-09-02 00:00:00,0000945621-25-000847,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,30.0,21.33,639.9,30.0,I,176340824.39706612,3.6287683364751603e-06
2025-05-20,2025-09-02 00:00:00,0000945621-25-000845,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,250.0,22.7,5675.0,12350.0,I,176340824.39706612,3.218199767072439e-05
2025-05-19,2025-09-02 00:00:00,0000945621-25-000845,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,10300.0,21.42,220626.00000000003,12100.0,I,176340824.39706612,0.001251133994379073
2025-05-14,2025-09-02 00:00:00,0000945621-25-000845,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,6201.0,21.0,130221.0,1222575.0,I,176340824.39706612,0.0007384620121020969
2025-05-09,2025-09-02 00:00:00,0000945621-25-000845,FOA,Finance of America Companies Inc.,0001828937,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",COOPERMAN LEON G,0000898382,,false,false,true,P,987.0,20.63,20361.809999999998,1800.0,I,176340824.39706612,0.00011546849726726563
