txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-16,2026-03-23 00:00:00,0001321558-26-000002,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Schoppert Wendy Lee,0001321558,,true,false,false,P,21929.0,4.68,102627.71999999999,96294.0,D,276604886.00349426,0.0003710264178005284
2025-12-03,2025-12-04 00:00:00,0000883569-25-000097,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Coulter Suzanne M,0001810935,,true,false,false,P,28170.0,3.62,101975.40000000001,98457.0,D,276604886.00349426,0.0003686681080489366
2025-11-24,2025-11-25 00:00:00,0000883569-25-000095,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Greben Randy J,0001839017,CFO,false,true,false,P,20980.0,2.38,49932.399999999994,170980.0,D,276604886.00349426,0.00018051886472955945
2025-11-21,2025-11-24 00:00:00,0000883569-25-000092,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Edwards Pamela J,0001837378,,true,false,false,P,10000.0,2.37,23700.0,12466.0,D,276604886.00349426,8.568178365331046e-05
2025-11-20,2025-11-24 00:00:00,0000883569-25-000088,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Schoppert Wendy Lee,0001321558,,true,false,false,P,41322.0,2.47,102065.34000000001,43788.0,D,276604886.00349426,0.0003689932649950032
2025-11-20,2025-11-24 00:00:00,0000883569-25-000090,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Tifford Gail B,0001712872,,true,false,false,P,33000.0,2.4,79200.0,135925.0,D,276604886.00349426,0.0002863289985376451
2025-11-18,2025-11-19 00:00:00,0000883569-25-000080,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Fogliato Franco,0001591094,CEO,true,true,false,P,100000.0,1.82,182000.0,1950000.0,D,276604886.00349426,0.0006579782542152956
2025-11-18,2025-11-20 00:00:00,0000883569-25-000083,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Martin Joe T,0002061832,Chief Commercial Officer,false,true,false,P,56180.0,1.78,100000.40000000001,185761.0,D,276604886.00349426,0.0003615279594111607
2025-11-18,2025-11-19 00:00:00,0000883569-25-000080,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Fogliato Franco,0001591094,CEO,true,true,false,P,50000.0,1.8,90000.0,1800000.0,D,276604886.00349426,0.00032537386197459674
2025-11-18,2025-11-19 00:00:00,0000883569-25-000080,FOSL,"Fossil Group, Inc.",0000883569,NASDAQ,3873,"Watches, Clocks, Clockwork Operated Devices & Parts",Manufacturing,Fogliato Franco,0001591094,CEO,true,true,false,P,50000.0,1.75,87500.0,1850000.0,D,276604886.00349426,0.00031633569914196904
