txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-18,2026-08-18 00:00:00,0000897069-26-001700,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",BAKER JOHN D II,0001190089,,true,false,true,P,8189.0,21.97,179912.33,3059389.0,I,421210734.1929989,0.00042713139859717846
2026-08-17,2026-08-18 00:00:00,0000897069-26-001700,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",BAKER JOHN D II,0001190089,,true,false,true,P,957.0,21.9687,21024.045899999997,3051200.0,I,421210734.1929989,4.9913366857281405e-05
2026-08-07,2026-08-11 00:00:00,0000897069-26-001606,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",Baker John D. III,0001785797,CEO,true,true,false,P,6800.0,21.91,148988.0,303591.0,I,421210734.1929989,0.0003537136827375668
2026-03-23,2026-03-25 00:00:00,0001190089-26-000007,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",BAKER JOHN D II,0001190089,,true,false,true,P,478468.0,20.9,9999981.2,3050243.0,I,421210734.1929989,0.02374104073857245
2025-11-13,2025-11-13 00:00:00,0001719139-25-000004,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",McNulty Matthew C.,0001719139,CFO,false,true,false,P,1000.0,23.94,23940.0,25106.0,D,421210734.1929989,5.683615838012021e-05
2025-11-13,2025-11-14 00:00:00,0001190089-25-000006,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",BAKER JOHN D II,0001190089,,true,false,false,P,854.0,23.85,20367.9,199879.0,I,421210734.1929989,4.8355605274454906e-05
2025-11-12,2025-11-13 00:00:00,0001190089-25-000005,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",BAKER JOHN D II,0001190089,,true,false,false,P,7175.0,23.85,171123.75,199025.0,I,421210734.1929989,0.0004062663557894777
2025-11-12,2025-11-13 00:00:00,0001719139-25-000004,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",McNulty Matthew C.,0001719139,CFO,false,true,false,P,1000.0,23.84,23840.0,24106.0,D,421210734.1929989,5.659874752640208e-05
2025-11-10,2025-11-12 00:00:00,0001785797-25-000003,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",Baker John D. III,0001785797,CEO,true,true,false,P,4166.0,23.7,98734.2,221254.0,I,421210734.1929989,0.00023440570713176544
2025-11-10,2025-11-12 00:00:00,0001190089-25-000004,FRPH,"FRP HOLDINGS, INC.",0000844059,NASDAQ,6500,Real Estate,"Finance, Insurance, Real Estate",BAKER JOHN D II,0001190089,,true,false,false,P,334.0,23.5,7849.0,191850.0,I,421210734.1929989,1.8634377908335987e-05
